Name,Time,Gain,Lose
Abbie Ives,0 days 00:00:03,12,2
Alyssa Wohlfeiler,0 days 00:01:31,42,3
Amanda Conway,0 days 00:00:19,15,7
Briana Mastel,0 days 00:00:43,29,7
Carlee Turner,0 days 00:00:31,22,3
Christina Putigna,0 days 00:01:40,35,7
Elena Orlando,0 days 00:00:16,23,7
Emma Vlasic,0 days 00:00:29,28,3
Grace Klienbach,0 days 00:00:23,13,3
Hanna Beattie,0 days 00:00:19,19,4
Janine Weber,0 days 00:01:11,40,3
Kaleigh Fratkin,0 days 00:02:05,68,8
Katelynn Russ,0 days 00:00:57,27,8
Kaycie Anderson,0 days 00:00:31,20,5
Kayla Friesen,0 days 00:01:02,40,7
Laurel Hill,0 days 00:00:11,6,3
Lauren Kelly,0 days 00:01:12,49,12
Lexie Laing,0 days 00:00:39,28,3
Mackenzie Lancaster,0 days 00:01:38,47,11
Maddie Bishop,0 days 00:00:06,2,1
Maggie LaGue,0 days 00:01:30,39,4
Mallory Souliotis,0 days 00:01:08,49,15
Mary Parker,0 days 00:00:41,21,7
McKenna Brand,0 days 00:01:26,40,5
Meaghan Rickard,0 days 00:00:26,13,4
Meghara McManus,0 days 00:00:31,19,6
Paige Capistran,0 days 00:00:33,32,9
Samantha Davis,0 days 00:01:11,39,6
Sarah Schwenzfeier,0 days 00:00:55,26,4
Shannon Doyle,0 days 00:01:03,51,18
Taylor Marchin,0 days 00:00:18,21,9
Taylor Turnquist,0 days 00:01:24,42,12
Taylor Wenczkowski,0 days 00:06:25,23,6
Tereza Vanisova,0 days 00:01:59,55,10
Tori Howran,0 days 00:00:54,42,9
Tori Sullivan,0 days 00:00:42,15,3
Victoria Hanson,0 days 00:00:04,5,0
