Name,Time,Gain,Lose
Allie Olnowich,0 days 00:00:23,21,3
Amy Curlew,0 days 00:00:24,14,2
Breanne Wilson-Bennett,0 days 00:01:13,30,4
Brooke Avery,0 days 00:00:24,11,2
Brooke Boquist,0 days 00:01:05,35,8
Cailey Hutchison,0 days 00:00:10,10,2
Elaine Chuli,0 days 00:00:12,13,2
Emily Fluke,0 days 00:00:31,18,1
Emily Janiga,0 days 00:00:40,30,10
Emma Greco,0 days 00:00:50,34,10
Emma Woods,0 days 00:00:43,34,3
Jayne Lewis,0 days 00:00:15,11,3
Julie Allen,0 days 00:00:25,13,5
Kate Leary,0 days 00:01:25,42,8
Kelly Babstock,0 days 00:00:48,16,6
Kendall Cornine,0 days 00:00:47,28,6
Kiira Dosdall,0 days 00:00:39,39,8
Kristen Barbara,0 days 00:01:26,37,9
Leila Kilduff,0 days 00:00:30,21,3
Lindsay Eastwood,0 days 00:01:04,39,9
Mackenzie MacNeil,0 days 00:00:28,22,4
Madison Packer,0 days 00:01:03,36,7
Mallory Rushton,0 days 00:00:42,22,8
Megan Quinn,0 days 00:01:03,35,9
Mikyla Grant-Mentis,0 days 00:01:39,38,7
Natalie Marcuzzi,0 days 00:00:47,24,7
Paige Voight,0 days 00:00:34,15,3
Rebecca Morse,0 days 00:00:41,30,6
Rebecca Russo,0 days 00:00:40,30,5
Sammy Kolowrat,0 days 00:00:56,31,8
Sarah-Eve Coutu Godbout,0 days 00:00:45,32,9
Sarah Steele,0 days 00:01:08,36,9
Saroya Tinker,0 days 00:00:46,28,6
Shiann Darkangelo,0 days 00:01:45,43,9
Sonjia Shelly,0 days 00:00:05,7,0
Taylor Woods,0 days 00:01:34,48,6
Taytum Clairmont,0 days 00:00:39,17,2
Theresa Knutson,0 days 00:00:37,26,6
