Name,Time,Gain,Lose
Alyson Matteau,0 days 00:01:09,37,8
Autumn MacDougall,0 days 00:01:13,32,4
Brittany Colton,0 days 00:00:23,10,2
Brooke Stacey,0 days 00:00:44,28,10
Carlee Turner,0 days 00:00:21,14,4
Carly Jackson,0 days 00:00:08,9,0
Cassidy MacPherson,0 days 00:01:10,29,9
Christina Putigna,0 days 00:00:57,28,8
Dominique Kremer,0 days 00:00:51,31,13
Erin Gehen,0 days 00:00:59,23,7
Hunter Accursi,0 days 00:00:26,10,6
Iveta Klimasova,0 days 00:00:29,16,8
Jenna Rheault,0 days 00:00:17,10,4
Jillian Dempsey,0 days 00:01:07,32,10
Jordan Juron,0 days 00:01:02,26,10
Kaleigh Fratkin,0 days 00:02:11,64,17
Kayla Meneghin,0 days 00:00:25,12,6
Kristin Lewicki,0 days 00:00:37,26,8
Lauren Kelly,0 days 00:00:50,35,14
Lenka Curmova,0 days 00:00:39,18,10
Lexie Laing,0 days 00:00:35,19,7
Mallory Souliotis,0 days 00:01:20,46,13
Marie-Jo Pelletier,0 days 00:01:53,55,17
Mary Parker,0 days 00:00:38,19,5
McKenna Brand,0 days 00:02:01,44,8
Meaghan Rickard,0 days 00:00:29,20,5
Megan Delay,0 days 00:00:50,29,10
Meghara McManus,0 days 00:00:29,10,3
Neve Van Pelt,0 days 00:00:24,12,7
Paige Capistran,0 days 00:00:55,41,16
Samantha Davis,0 days 00:01:17,44,12
Taylor Turnquist,0 days 00:01:35,38,10
Taylor Wenczkowski,0 days 00:00:40,33,11
Tereza Vanisova,0 days 00:01:54,42,11
Tori Sullivan,0 days 00:00:32,18,5
Victoria Hanson,0 days 00:00:00,5,0
Whitney Dove,0 days 00:01:17,34,14
