Name,Time,Gain,Lose
Allie Thunstrom,0 days 00:01:33,32,10
Amanda Leveille,0 days 00:00:06,11,1
Amy Curlew,0 days 00:00:15,6,0
Audra Richards,0 days 00:00:57,30,13
Breanne Wilson-Bennett,0 days 00:01:23,31,10
Brooke White,0 days 00:00:08,6,0
Chelsey Brodt-Rosenthal,0 days 00:00:37,26,10
Elaine Chuli,0 days 00:00:06,6,1
Emily Fluke,0 days 00:00:29,15,1
Emma Greco,0 days 00:01:04,31,14
Emma Stauber,0 days 00:01:36,45,12
Haley Mack,0 days 00:01:15,35,10
Jonna Curtis,0 days 00:01:24,42,9
Julie Allen,0 days 00:00:24,13,4
Lindsay Eastwood,0 days 00:01:02,48,9
Lynn Astrup,0 days 00:00:06,8,2
Mackenzie MacNeil,0 days 00:01:03,30,10
Maddie Rowe,0 days 00:01:06,33,10
Meaghan Pezon,0 days 00:00:51,35,4
Megan Quinn,0 days 00:01:01,39,8
Meghan Lorence,0 days 00:01:01,36,3
Mikyla Grant-Mentis,0 days 00:01:58,50,13
Natalie Marcuzzi,0 days 00:01:29,43,12
Nina Rodgers,0 days 00:00:25,21,3
Rose Alleva,0 days 00:00:02,1,0
Sara Bustad,0 days 00:00:31,25,6
Sarah-Eve Coutu Godbout,0 days 00:01:06,24,4
Sarah Steele,0 days 00:01:23,39,14
Shiann Darkangelo,0 days 00:01:51,52,12
Stephanie Anderson,0 days 00:01:00,35,6
Sydney Baldwin,0 days 00:02:12,47,10
Taylor Woods,0 days 00:02:01,67,12
Taytum Clairmont,0 days 00:01:34,39,9
Winny Brodt-Brown,0 days 00:01:19,21,7
