Name,Time,Gain,Lose
Abbie Ives,0 days 00:00:00,2,0
Alyssa Wohlfeiler,0 days 00:01:37,39,11
Amanda Conway,0 days 00:00:30,16,6
Amy Curlew,0 days 00:00:26,15,3
Breanne Wilson-Bennett,0 days 00:01:51,44,14
Elaine Chuli,0 days 00:00:06,8,1
Elena Orlando,0 days 00:00:29,27,7
Emily Fluke,0 days 00:00:47,22,6
Emma Greco,0 days 00:00:47,39,15
Emma Vlasic,0 days 00:00:56,39,10
Grace Klienbach,0 days 00:00:32,14,5
Hanna Beattie,0 days 00:00:43,30,12
Janine Weber,0 days 00:00:22,10,3
Julie Allen,0 days 00:00:35,18,4
Katelynn Russ,0 days 00:01:00,30,8
Kaycie Anderson,0 days 00:00:18,10,4
Laurel Hill,0 days 00:00:51,29,14
Lindsay Eastwood,0 days 00:01:53,66,20
Mackenzie MacNeil,0 days 00:01:04,30,10
Maddie Bishop,0 days 00:00:22,12,4
Maeve Reilly,0 days 00:00:12,12,3
Maggie LaGue,0 days 00:01:28,48,15
Mariah Fujimagari,0 days 00:00:02,4,1
Megan Quinn,0 days 00:01:16,51,13
Mikyla Grant-Mentis,0 days 00:02:01,43,5
Natalie Marcuzzi,0 days 00:01:16,28,8
Rachael Ade,0 days 00:00:27,15,3
Sarah-Eve Coutu Godbout,0 days 00:01:19,27,8
Sarah Hughson,0 days 00:00:17,8,3
Sarah Schwenzfeier,0 days 00:00:22,12,4
Sarah Steele,0 days 00:01:59,49,11
Shannon Doyle,0 days 00:01:00,35,10
Shiann Darkangelo,0 days 00:02:13,53,13
Taylor Marchin,0 days 00:00:44,39,16
Taylor Woods,0 days 00:01:42,51,7
Taytum Clairmont,0 days 00:01:26,40,11
