Name,Time,Gain,Lose
Amy Curlew,0 days 00:00:27,13,3
Breanne Wilson-Bennett,0 days 00:01:26,33,9
Briana Mastel,0 days 00:00:14,13,3
Brooke Boquist,0 days 00:01:43,43,10
Carlee Turner,0 days 00:00:19,12,4
Christina Putigna,0 days 00:01:07,38,12
Elaine Chuli,0 days 00:00:00,5,0
Emily Fluke,0 days 00:00:17,7,1
Emma Greco,0 days 00:00:40,22,5
Emma Woods,0 days 00:01:34,41,8
Jillian Dempsey,0 days 00:01:15,32,14
Julie Allen,0 days 00:00:04,2,1
Kaleigh Fratkin,0 days 00:02:06,69,14
Kristen Barbara,0 days 00:00:38,22,6
Lauren Kelly,0 days 00:00:59,35,9
Lexie Laing,0 days 00:00:30,18,8
Lindsay Eastwood,0 days 00:01:21,45,12
Lovisa Selander,0 days 00:00:03,6,0
Mackenzie MacNeil,0 days 00:01:00,26,7
Mallory Souliotis,0 days 00:01:17,49,16
Mary Parker,0 days 00:00:25,16,3
McKenna Brand,0 days 00:01:27,42,4
Meaghan Rickard,0 days 00:05:31,11,4
Megan Quinn,0 days 00:00:40,19,6
Meghara McManus,0 days 00:00:34,13,3
Mikyla Grant-Mentis,0 days 00:01:38,47,13
Natalie Marcuzzi,0 days 00:00:38,22,7
Paige Capistran,0 days 00:00:13,15,3
Samantha Davis,0 days 00:01:48,44,7
Sarah-Eve Coutu Godbout,0 days 00:01:25,36,10
Sarah Steele,0 days 00:01:22,25,5
Shiann Darkangelo,0 days 00:01:40,39,10
Taylor Turnquist,0 days 00:00:40,28,8
Taylor Wenczkowski,0 days 00:00:59,27,7
Taylor Woods,0 days 00:01:16,40,7
Taytum Clairmont,0 days 00:00:15,8,1
Tereza Vanisova,0 days 00:01:41,36,5
Tori Sullivan,0 days 00:00:23,7,2
