Name,Time,Gain,Lose
Abbie Ives,0 days 00:00:01,2,0
Allie Olnowich,0 days 00:00:19,13,1
Alyssa Wohlfeiler,0 days 00:01:41,35,7
Amanda Conway,0 days 00:00:12,11,1
Brooke Avery,0 days 00:00:14,14,4
Brooke Wolejko,0 days 00:00:01,11,1
Cailey Hutchison,0 days 00:00:12,10,7
Elena Orlando,0 days 00:00:25,21,6
Emily Janiga,0 days 00:00:42,18,4
Emma Vlasic,0 days 00:00:46,24,7
Grace Klienbach,0 days 00:00:19,12,2
Hanna Beattie,0 days 00:00:47,39,15
Janine Weber,0 days 00:01:35,37,9
Jayne Lewis,0 days 00:00:05,8,2
Kate Leary,0 days 00:00:55,30,3
Katelynn Russ,0 days 00:00:43,31,7
Kaycie Anderson,0 days 00:00:24,16,4
Kayla Friesen,0 days 00:00:47,25,11
Kelly Babstock,0 days 00:01:55,31,9
Kendall Cornine,0 days 00:01:07,32,6
Kiira Dosdall,0 days 00:01:38,62,19
Leila Kilduff,0 days 00:01:03,32,11
Mackenzie Lancaster,0 days 00:00:48,23,5
Maddie Bishop,0 days 00:00:25,11,2
Madison Packer,0 days 00:00:49,33,10
Maggie LaGue,0 days 00:01:32,46,18
Mallory Rushton,0 days 00:01:14,33,7
Nicole Guagliardo,0 days 00:00:24,15,2
Paige Voight,0 days 00:00:59,30,11
Rebecca Morse,0 days 00:01:08,40,13
Rebecca Russo,0 days 00:00:59,38,10
Sammy Kolowrat,0 days 00:01:27,53,22
Sarah Schwenzfeier,0 days 00:02:32,15,7
Saroya Tinker,0 days 00:01:02,40,6
Shannon Doyle,0 days 00:01:23,46,20
Taylor Marchin,0 days 00:00:40,25,5
Tera Hofmann,0 days 00:00:04,13,2
Theresa Knutson,0 days 00:00:57,26,2
Tori Howran,0 days 00:01:41,41,15
