Name,Time,Gain,Lose
Alyson Matteau,0 days 00:01:09,40,9
Autumn MacDougall,0 days 00:01:11,33,15
Briana Mastel,0 days 00:00:47,31,9
Brittany Colton,0 days 00:00:10,8,3
Brooke Stacey,0 days 00:01:14,27,6
Carlee Turner,0 days 00:00:54,27,7
Carly Jackson,0 days 00:00:03,3,0
Cassidy MacPherson,0 days 00:01:20,31,11
Caty Flagg,0 days 00:00:00,1,0
Christina Putigna,0 days 00:00:47,22,5
Dominique Kremer,0 days 00:01:08,37,13
Erin Gehen,0 days 00:00:59,34,10
Hunter Accursi,0 days 00:00:24,13,8
Iveta Klimasova,0 days 00:00:48,23,7
Jillian Dempsey,0 days 00:00:28,17,9
Jordan Juron,0 days 00:00:32,30,9
Kaleigh Fratkin,0 days 00:02:09,55,22
Kristin Lewicki,0 days 00:00:41,29,8
Lauren Kelly,0 days 00:01:22,48,16
Lenka Curmova,0 days 00:00:41,25,5
Lexie Laing,0 days 00:01:03,35,11
Lisa Chesson,0 days 00:01:03,30,10
Lovisa Selander,0 days 00:00:02,5,0
Mallory Souliotis,0 days 00:00:50,37,8
Marie-Jo Pelletier,0 days 00:01:04,34,6
McKenna Brand,0 days 00:01:23,32,5
Meaghan Rickard,0 days 00:00:21,10,1
Megan Delay,0 days 00:00:23,14,8
Meghara McManus,0 days 00:01:03,24,12
Paige Capistran,0 days 00:00:49,35,12
Samantha Davis,0 days 00:01:28,34,14
Taylor Turnquist,0 days 00:01:41,41,12
Taylor Wasylk,0 days 00:00:30,32,6
Taylor Wenczkowski,0 days 00:00:40,27,5
Tereza Vanisova,0 days 00:01:55,33,5
Tori Sullivan,0 days 00:00:47,21,2
Whitney Dove,0 days 00:00:35,22,7
