Name,Time,Gain,Lose
Alyson Matteau,0 days 00:01:08,42,10
Amy Curlew,0 days 00:00:33,20,4
Autumn MacDougall,0 days 00:00:47,29,7
Breanne Wilson-Bennett,0 days 00:00:57,27,4
Brittany Colton,0 days 00:00:34,15,3
Brooke Boquist,0 days 00:01:43,40,13
Brooke Stacey,0 days 00:00:48,26,11
Carly Jackson,0 days 00:00:10,14,0
Cassidy MacPherson,0 days 00:01:14,38,6
Dominique Kremer,0 days 00:02:11,49,10
Elaine Chuli,0 days 00:00:02,3,0
Emily Fluke,0 days 00:00:26,14,4
Emma Greco,0 days 00:00:42,28,9
Emma Woods,0 days 00:01:14,37,4
Erin Gehen,0 days 00:00:41,25,10
Hunter Accursi,0 days 00:00:22,9,2
Iveta Klimasova,0 days 00:00:12,9,1
Jordan Juron,0 days 00:01:05,33,9
Julie Allen,0 days 00:00:11,8,1
Kayla Meneghin,0 days 00:04:34,12,4
Kristen Barbara,0 days 00:00:13,5,2
Kristin Lewicki,0 days 00:01:03,33,7
Lenka Curmova,0 days 00:00:32,12,2
Lindsay Eastwood,0 days 00:01:19,51,17
Mackenzie MacNeil,0 days 00:00:50,23,5
Marie-Jo Pelletier,0 days 00:01:18,32,4
Megan Delay,0 days 00:00:55,30,8
Megan Quinn,0 days 00:00:59,41,6
Mikyla Grant-Mentis,0 days 00:01:21,28,9
Natalie Marcuzzi,0 days 00:01:12,32,3
Neve Van Pelt,0 days 00:00:20,13,6
Sarah-Eve Coutu Godbout,0 days 00:00:54,19,5
Sarah Steele,0 days 00:01:32,44,12
Shiann Darkangelo,0 days 00:01:21,40,7
Taylor Wasylk,0 days 00:00:27,15,6
Taylor Woods,0 days 00:01:09,39,6
Taytum Clairmont,0 days 00:00:32,17,3
Whitney Dove,0 days 00:01:06,47,10
