Name,Time,Gain,Lose
Alyson Matteau,0 days 00:01:14,27,9
Autumn MacDougall,0 days 00:00:51,31,7
Briana Mastel,0 days 00:01:01,39,8
Brittany Colton,0 days 00:00:10,8,1
Brooke Stacey,0 days 00:00:14,8,1
Carlee Turner,0 days 00:00:44,23,2
Carly Jackson,0 days 00:00:10,10,1
Cassidy MacPherson,0 days 00:01:03,35,9
Christina Putigna,0 days 00:00:57,30,9
Dominique Kremer,0 days 00:00:36,25,7
Erin Gehen,0 days 00:01:03,23,6
Hunter Accursi,0 days 00:04:21,11,2
Iveta Klimasova,0 days 00:00:20,11,3
Jenna Rheault,0 days 00:00:00,0,0
Jillian Dempsey,0 days 00:00:48,24,7
Jordan Juron,0 days 00:00:52,28,7
Kaleigh Fratkin,0 days 00:01:25,55,12
Kristin Lewicki,0 days 00:00:53,25,6
Lauren Kelly,0 days 00:01:49,66,19
Lenka Curmova,0 days 00:00:46,24,13
Lexie Laing,0 days 00:00:41,22,6
Lisa Chesson,0 days 00:01:12,27,10
Lovisa Selander,0 days 00:00:05,5,0
Mallory Souliotis,0 days 00:01:43,53,15
Marie-Jo Pelletier,0 days 00:01:15,37,12
McKenna Brand,0 days 00:01:26,39,9
Meaghan Rickard,0 days 00:00:31,18,2
Megan Delay,0 days 00:00:35,12,2
Meghara McManus,0 days 00:00:41,21,2
Neve Van Pelt,0 days 00:00:15,9,3
Paige Capistran,0 days 00:00:51,28,3
Samantha Davis,0 days 00:00:51,30,4
Taylor Turnquist,0 days 00:02:03,55,9
Taylor Wasylk,0 days 00:00:34,19,4
Taylor Wenczkowski,0 days 00:01:01,35,5
Tereza Vanisova,0 days 00:01:16,33,6
Tori Sullivan,0 days 00:00:59,28,3
Victoria Hanson,0 days 00:00:01,2,0
Whitney Dove,0 days 00:00:59,43,12
