Name,Time,Gain,Lose
Alyson Matteau,0 days 00:00:48,37,6
Autumn MacDougall,0 days 00:00:42,34,10
Briana Mastel,0 days 00:00:36,32,7
Brittany Colton,0 days 00:00:12,7,3
Brooke Stacey,0 days 00:00:39,21,2
Carlee Turner,0 days 00:00:36,27,4
Carly Jackson,0 days 00:00:10,12,1
Cassidy MacPherson,0 days 00:00:32,22,6
Christina Putigna,0 days 00:01:14,41,8
Dominique Kremer,0 days 00:00:51,31,6
Erin Gehen,0 days 00:00:53,26,5
Hunter Accursi,0 days 00:00:11,9,1
Iveta Klimasova,0 days 00:00:16,16,8
Jillian Dempsey,0 days 00:05:08,27,6
Jordan Juron,0 days 00:01:19,30,9
Kaleigh Fratkin,0 days 00:01:58,63,16
Kristin Lewicki,0 days 00:01:00,34,8
Lauren Kelly,0 days 00:00:53,36,4
Lenka Curmova,0 days 00:00:33,20,8
Lexie Laing,0 days 00:01:03,31,9
Lisa Chesson,0 days 00:00:55,43,12
Lovisa Selander,0 days 00:00:00,4,0
Mallory Souliotis,0 days 00:01:19,43,10
Marie-Jo Pelletier,0 days 00:01:26,38,10
McKenna Brand,0 days 00:01:54,48,5
Meaghan Rickard,0 days 00:00:12,4,2
Megan Delay,0 days 00:00:16,11,4
Meghara McManus,0 days 00:00:21,10,5
Neve Van Pelt,0 days 00:00:15,16,3
Paige Capistran,0 days 00:00:31,23,8
Samantha Davis,0 days 00:01:17,36,9
Taylor Turnquist,0 days 00:02:10,51,4
Taylor Wasylk,0 days 00:00:36,21,7
Taylor Wenczkowski,0 days 00:00:55,30,5
Tereza Vanisova,0 days 00:01:25,28,6
Tori Sullivan,0 days 00:01:08,32,1
Whitney Dove,0 days 00:01:16,42,13
