Name,Time,Gain,Lose
Abbie Ives,0 days 00:00:00,6,1
Alyson Matteau,0 days 00:00:54,52,15
Alyssa Wohlfeiler,0 days 00:01:45,41,9
Amanda Conway,0 days 00:00:37,15,4
Autumn MacDougall,0 days 00:01:14,35,14
Brittany Colton,0 days 00:00:27,10,2
Brooke Stacey,0 days 00:01:03,34,9
Carly Jackson,0 days 00:00:07,9,0
Cassidy MacPherson,0 days 00:00:58,27,9
Dominique Kremer,0 days 00:00:47,40,13
Elena Orlando,0 days 00:00:39,32,12
Emma Vlasic,0 days 00:00:44,25,4
Erin Gehen,0 days 00:01:08,43,13
Grace Klienbach,0 days 00:00:37,20,5
Hanna Beattie,0 days 00:00:41,42,13
Hunter Accursi,0 days 00:00:10,11,2
Iveta Klimasova,0 days 00:00:28,18,6
Janine Weber,0 days 00:01:37,33,11
Jordan Juron,0 days 00:01:18,38,9
Katelynn Russ,0 days 00:00:52,33,9
Kaycie Anderson,0 days 00:00:39,28,11
Kayla Friesen,0 days 00:01:20,39,12
Kayla Meneghin,0 days 00:01:09,19,8
Kristin Lewicki,0 days 00:00:42,33,10
Lenka Curmova,0 days 00:00:17,20,7
Mackenzie Lancaster,0 days 00:00:47,23,6
Maddie Bishop,0 days 00:00:24,11,5
Maggie LaGue,0 days 00:01:41,43,10
Marie-Jo Pelletier,0 days 00:01:17,49,8
Megan Delay,0 days 00:00:54,30,14
Neve Van Pelt,0 days 00:00:27,16,4
Nicole Guagliardo,0 days 00:01:08,41,12
Sarah Schwenzfeier,0 days 00:00:36,26,12
Shannon Doyle,0 days 00:01:30,62,11
Taylor Marchin,0 days 00:00:29,25,9
Tori Howran,0 days 00:01:55,58,14
Whitney Dove,0 days 00:00:55,35,5
