Name,Time,Gain,Lose
Allie Thunstrom,0 days 00:00:54,32,8
Amanda Leveille,0 days 00:00:05,8,1
Amy Curlew,0 days 00:00:44,19,3
Audra Richards,0 days 00:00:34,16,3
Breanne Wilson-Bennett,0 days 00:01:05,32,8
Brooke Boquist,0 days 00:01:02,40,11
Brooke White,0 days 00:00:00,2,1
Chelsey Brodt-Rosenthal,0 days 00:00:35,20,8
Emily Fluke,0 days 00:00:21,15,6
Emma Greco,0 days 00:00:51,23,11
Emma Stauber,0 days 00:00:45,32,5
Emma Woods,0 days 00:02:25,58,12
Haley Mack,0 days 00:01:08,37,9
Haylea Schmid,0 days 00:00:37,15,6
Jonna Curtis,0 days 00:01:15,33,13
Julie Allen,0 days 00:00:16,10,7
Kristen Barbara,0 days 00:01:04,35,7
Lindsay Eastwood,0 days 00:01:28,43,9
Lynn Astrup,0 days 00:00:08,3,2
Mackenzie MacNeil,0 days 00:00:43,22,8
Maddie Rowe,0 days 00:01:14,40,13
Meaghan Pezon,0 days 00:00:33,18,5
Megan Quinn,0 days 00:00:33,26,9
Meghan Lorence,0 days 00:01:36,45,16
Mikyla Grant-Mentis,0 days 00:01:42,38,7
Natalie Marcuzzi,0 days 00:01:16,30,9
Nina Rodgers,0 days 00:00:48,29,5
Rose Alleva,0 days 00:00:04,3,1
Samantha Ridgewell,0 days 00:00:10,10,0
Sara Bustad,0 days 00:00:28,22,9
Sarah-Eve Coutu Godbout,0 days 00:00:45,26,13
Sarah Steele,0 days 00:02:16,58,7
Shiann Darkangelo,0 days 00:02:25,58,16
Stephanie Anderson,0 days 00:00:51,34,10
Sydney Baldwin,0 days 00:01:46,68,19
Taylor Woods,0 days 00:01:58,54,14
Taytum Clairmont,0 days 00:00:47,24,6
Winny Brodt-Brown,0 days 00:00:19,15,4
