,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Stephanie Anderson,5.0,9.0,0.0,10.0,0.0,18.0,14.0,5.0,8.0,3.0
Maddie Rowe,5.0,0.0,0.0,12.0,0.0,21.0,28.0,1.0,4.0,3.0
Sydney Baldwin,6.0,0.0,1.0,18.0,2.0,29.0,42.0,11.0,4.0,3.0
Samantha Ridgewell,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0
Haley Mack,2.0,0.0,1.0,6.0,1.0,17.0,20.0,2.0,1.0,4.0
Meghan Lorence,6.0,0.0,0.0,15.0,1.0,14.0,20.0,4.0,6.0,7.0
Mikyla Grant-Mentis,4.0,4.0,1.0,5.0,1.0,15.0,15.0,10.0,3.0,9.0
Lindsay Eastwood,9.0,0.0,1.0,7.0,0.0,17.0,22.0,7.0,5.0,4.0
Amy Curlew,5.0,0.0,0.0,3.0,1.0,10.0,6.0,1.0,1.0,3.0
Sarah-Eve Coutu Godbout,3.0,0.0,0.0,12.0,0.0,7.0,11.0,2.0,2.0,5.0
Emma Greco,2.0,0.0,0.0,11.0,1.0,7.0,13.0,4.0,3.0,2.0
Haylea Schmid,2.0,5.0,1.0,5.0,0.0,6.0,7.0,2.0,4.0,3.0
Kristen Barbara,0.0,0.0,0.0,7.0,0.0,25.0,26.0,3.0,3.0,2.0
Shiann Darkangelo,2.0,13.0,0.0,13.0,0.0,34.0,28.0,5.0,2.0,5.0
Emma Woods,3.0,0.0,0.0,12.0,0.0,35.0,14.0,8.0,1.0,7.0
Allie Thunstrom,9.0,0.0,0.0,6.0,1.0,7.0,14.0,4.0,2.0,5.0
Emma Stauber,5.0,0.0,0.0,5.0,1.0,18.0,19.0,3.0,1.0,0.0
Nina Rodgers,1.0,0.0,0.0,5.0,1.0,17.0,12.0,3.0,3.0,2.0
Chelsey Brodt-Rosenthal,4.0,0.0,0.0,8.0,2.0,7.0,16.0,0.0,1.0,0.0
Jonna Curtis,5.0,8.0,0.0,11.0,0.0,13.0,21.0,4.0,4.0,8.0
Winny Brodt-Brown,0.0,0.0,0.0,4.0,0.0,7.0,10.0,4.0,1.0,1.0
Meaghan Pezon,0.0,0.0,1.0,4.0,0.0,13.0,10.0,1.0,4.0,2.0
Sarah Steele,1.0,0.0,0.0,7.0,0.0,44.0,30.0,5.0,2.0,2.0
Audra Richards,5.0,0.0,1.0,3.0,0.0,3.0,8.0,2.0,1.0,4.0
Natalie Marcuzzi,5.0,1.0,0.0,9.0,1.0,10.0,14.0,5.0,3.0,8.0
Sara Bustad,2.0,0.0,0.0,9.0,1.0,6.0,13.0,3.0,0.0,1.0
Taylor Woods,4.0,2.0,1.0,12.0,1.0,26.0,29.0,6.0,1.0,6.0
Mackenzie MacNeil,4.0,0.0,0.0,7.0,0.0,4.0,13.0,2.0,3.0,8.0
Breanne Wilson-Bennett,1.0,10.0,2.0,3.0,1.0,21.0,19.0,6.0,5.0,4.0
Brooke Boquist,1.0,0.0,0.0,10.0,0.0,17.0,9.0,8.0,0.0,2.0
Megan Quinn,2.0,0.0,0.0,8.0,1.0,11.0,20.0,3.0,2.0,1.0
Taytum Clairmont,1.0,6.0,0.0,5.0,0.0,11.0,15.0,1.0,0.0,3.0
Julie Allen,1.0,0.0,0.0,6.0,0.0,2.0,7.0,0.0,1.0,0.0
Brooke White,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
Emily Fluke,1.0,0.0,0.0,6.0,0.0,5.0,9.0,1.0,0.0,0.0
Amanda Leveille,0.0,0.0,0.0,1.0,0.0,7.0,8.0,0.0,0.0,0.0
Lynn Astrup,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
Rose Alleva,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
