,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Jordan Juron,1.0,9.0,1.0,6.0,0.0,9.0,14.0,6.0,3.0,6.0
Kristin Lewicki,4.0,0.0,0.0,7.0,0.0,9.0,15.0,4.0,3.0,7.0
Marie-Jo Pelletier,7.0,0.0,0.0,16.0,0.0,30.0,34.0,3.0,6.0,5.0
Jillian Dempsey,1.0,13.0,2.0,7.0,0.0,18.0,17.0,5.0,5.0,4.0
Kaleigh Fratkin,3.0,0.0,0.0,16.0,0.0,38.0,35.0,6.0,1.0,1.0
Mallory Souliotis,3.0,0.0,0.0,12.0,0.0,31.0,36.0,1.0,5.0,2.0
McKenna Brand,4.0,2.0,1.0,7.0,0.0,18.0,15.0,12.0,3.0,8.0
Alyson Matteau,2.0,0.0,0.0,7.0,1.0,23.0,22.0,3.0,4.0,2.0
Christina Putigna,2.0,0.0,0.0,8.0,0.0,14.0,11.0,4.0,2.0,6.0
Mary Parker,1.0,0.0,0.0,3.0,0.0,10.0,8.0,3.0,3.0,4.0
Tori Sullivan,0.0,0.0,0.0,2.0,0.0,7.0,8.0,2.0,1.0,0.0
Lexie Laing,2.0,5.0,0.0,6.0,0.0,8.0,9.0,3.0,2.0,6.0
Jenna Rheault,1.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,1.0,1.0
Brooke Stacey,2.0,1.0,0.0,10.0,0.0,12.0,15.0,5.0,2.0,4.0
Dominique Kremer,2.0,0.0,0.0,12.0,2.0,15.0,18.0,3.0,8.0,2.0
Autumn MacDougall,6.0,0.0,0.0,4.0,0.0,17.0,14.0,2.0,1.0,10.0
Tereza Vanisova,2.0,7.0,0.0,10.0,1.0,20.0,22.0,6.0,3.0,14.0
Samantha Davis,1.0,0.0,1.0,9.0,0.0,20.0,19.0,2.0,1.0,7.0
Taylor Wenczkowski,2.0,0.0,1.0,7.0,0.0,8.0,14.0,8.0,1.0,0.0
Lauren Kelly,4.0,0.0,0.0,12.0,0.0,13.0,21.0,5.0,4.0,2.0
Whitney Dove,6.0,0.0,0.0,12.0,2.0,11.0,21.0,5.0,5.0,6.0
Carlee Turner,2.0,5.0,0.0,3.0,0.0,3.0,11.0,4.0,1.0,2.0
Meaghan Rickard,3.0,0.0,0.0,5.0,0.0,3.0,13.0,4.0,1.0,7.0
Megan Delay,5.0,0.0,0.0,9.0,0.0,14.0,21.0,2.0,3.0,1.0
Iveta Klimasova,1.0,0.0,0.0,7.0,1.0,4.0,5.0,3.0,1.0,5.0
Brittany Colton,4.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,1.0,4.0
Paige Capistran,4.0,0.0,0.0,15.0,1.0,16.0,32.0,3.0,0.0,2.0
Lenka Curmova,2.0,0.0,0.0,9.0,1.0,7.0,14.0,2.0,4.0,0.0
Taylor Turnquist,3.0,0.0,0.0,10.0,1.0,19.0,21.0,6.0,2.0,4.0
Erin Gehen,2.0,0.0,0.0,7.0,0.0,12.0,12.0,3.0,5.0,6.0
Neve Van Pelt,3.0,2.0,0.0,6.0,0.0,3.0,5.0,0.0,4.0,2.0
Cassidy MacPherson,5.0,7.0,0.0,8.0,0.0,11.0,14.0,5.0,4.0,4.0
Kayla Meneghin,2.0,3.0,0.0,6.0,1.0,2.0,2.0,0.0,0.0,2.0
Hunter Accursi,0.0,0.0,0.0,5.0,0.0,4.0,6.0,0.0,1.0,1.0
Meghara McManus,3.0,1.0,0.0,2.0,0.0,2.0,4.0,4.0,3.0,4.0
Victoria Hanson,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0
Carly Jackson,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,1.0,0.0
