,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Breanne Wilson-Bennett,5.0,8.0,0.0,8.0,0.0,12.0,19.0,8.0,6.0,6.0
Natalie Marcuzzi,6.0,2.0,0.0,6.0,0.0,10.0,13.0,3.0,5.0,4.0
Sarah Steele,2.0,0.0,0.0,4.0,0.0,17.0,15.0,0.0,0.0,3.0
Kaleigh Fratkin,3.0,0.0,0.0,13.0,3.0,51.0,35.0,4.0,4.0,2.0
Elaine Chuli,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
Mallory Souliotis,2.0,0.0,0.0,14.0,0.0,26.0,28.0,4.0,3.0,0.0
Mackenzie MacNeil,4.0,0.0,0.0,4.0,0.0,12.0,12.0,5.0,6.0,5.0
Jillian Dempsey,1.0,11.0,0.0,9.0,0.0,13.0,12.0,5.0,2.0,4.0
McKenna Brand,2.0,0.0,0.0,3.0,0.0,22.0,12.0,9.0,1.0,9.0
Lauren Kelly,5.0,0.0,0.0,7.0,2.0,23.0,22.0,2.0,5.0,3.0
Megan Quinn,4.0,0.0,0.0,6.0,1.0,9.0,8.0,2.0,2.0,2.0
Lindsay Eastwood,4.0,0.0,0.0,11.0,1.0,30.0,20.0,3.0,4.0,3.0
Shiann Darkangelo,3.0,11.0,0.0,10.0,2.0,21.0,12.0,4.0,4.0,4.0
Mary Parker,3.0,0.0,0.0,2.0,0.0,7.0,7.0,3.0,0.0,2.0
Brooke Boquist,4.0,0.0,1.0,6.0,1.0,19.0,15.0,7.0,0.0,3.0
Taylor Turnquist,3.0,0.0,0.0,6.0,0.0,13.0,18.0,2.0,3.0,2.0
Taylor Wenczkowski,0.0,0.0,0.0,5.0,0.0,14.0,12.0,5.0,3.0,3.0
Emma Woods,6.0,0.0,0.0,7.0,0.0,23.0,11.0,7.0,5.0,9.0
Briana Mastel,4.0,0.0,0.0,2.0,0.0,6.0,11.0,0.0,3.0,0.0
Kristen Barbara,2.0,0.0,0.0,6.0,1.0,16.0,12.0,0.0,3.0,1.0
Meaghan Rickard,4.0,0.0,0.0,2.0,0.0,3.0,3.0,2.0,3.0,5.0
Carlee Turner,1.0,1.0,0.0,4.0,0.0,4.0,7.0,2.0,0.0,4.0
Amy Curlew,0.0,2.0,0.0,1.0,0.0,9.0,7.0,1.0,1.0,0.0
Emma Greco,5.0,0.0,0.0,4.0,0.0,12.0,19.0,1.0,2.0,2.0
Mikyla Grant-Mentis,1.0,1.0,1.0,12.0,0.0,17.0,23.0,11.0,3.0,8.0
Meghara McManus,3.0,1.0,0.0,3.0,0.0,6.0,4.0,1.0,3.0,3.0
Paige Capistran,2.0,0.0,0.0,3.0,1.0,9.0,12.0,2.0,2.0,0.0
Christina Putigna,3.0,0.0,1.0,9.0,0.0,17.0,15.0,3.0,0.0,8.0
Emily Fluke,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0
Taytum Clairmont,0.0,1.0,0.0,1.0,0.0,5.0,5.0,2.0,1.0,2.0
Lexie Laing,2.0,4.0,0.0,8.0,0.0,5.0,6.0,3.0,2.0,4.0
Taylor Woods,6.0,0.0,0.0,7.0,0.0,22.0,26.0,6.0,9.0,5.0
Tori Sullivan,1.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,3.0,2.0
Tereza Vanisova,0.0,7.0,0.0,2.0,0.0,22.0,8.0,3.0,1.0,7.0
Sarah-Eve Coutu Godbout,1.0,0.0,0.0,8.0,0.0,13.0,16.0,14.0,2.0,6.0
Julie Allen,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Samantha Davis,5.0,0.0,0.0,6.0,0.0,26.0,12.0,5.0,4.0,6.0
Lovisa Selander,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0
