,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Kayla Friesen,3.0,11.0,0.0,11.0,0.0,11.0,12.0,4.0,4.0,2.0
Nicole Guagliardo,1.0,0.0,0.0,2.0,2.0,10.0,7.0,2.0,0.0,5.0
Tori Howran,10.0,0.0,0.0,13.0,0.0,20.0,29.0,3.0,8.0,3.0
Shannon Doyle,6.0,0.0,0.0,20.0,0.0,16.0,33.0,6.0,4.0,1.0
Janine Weber,5.0,0.0,0.0,9.0,0.0,13.0,13.0,8.0,2.0,6.0
Sammy Kolowrat,9.0,0.0,0.0,21.0,0.0,16.0,34.0,3.0,3.0,4.0
Kiira Dosdall,8.0,0.0,0.0,18.0,0.0,32.0,36.0,4.0,3.0,5.0
Emily Janiga,4.0,9.0,0.0,3.0,1.0,9.0,10.0,3.0,4.0,7.0
Madison Packer,6.0,0.0,0.0,8.0,0.0,18.0,15.0,1.0,3.0,5.0
Brooke Wolejko,0.0,0.0,0.0,1.0,0.0,10.0,11.0,0.0,0.0,0.0
Hanna Beattie,8.0,0.0,0.0,15.0,0.0,13.0,28.0,3.0,1.0,1.0
Alyssa Wohlfeiler,0.0,0.0,0.0,7.0,0.0,25.0,12.0,7.0,5.0,6.0
Emma Vlasic,5.0,11.0,0.0,6.0,0.0,11.0,12.0,6.0,4.0,5.0
Kelly Babstock,4.0,11.0,0.0,9.0,0.0,11.0,11.0,5.0,2.0,9.0
Rebecca Russo,5.0,2.0,1.0,9.0,0.0,21.0,22.0,2.0,2.0,4.0
Maggie LaGue,2.0,0.0,0.0,17.0,0.0,21.0,30.0,3.0,4.0,2.0
Leila Kilduff,3.0,0.0,0.0,11.0,0.0,19.0,15.0,2.0,4.0,1.0
Kendall Cornine,6.0,8.0,0.0,5.0,1.0,13.0,14.0,3.0,1.0,9.0
Mallory Rushton,1.0,1.0,1.0,6.0,0.0,17.0,14.0,6.0,2.0,5.0
Saroya Tinker,8.0,0.0,0.0,6.0,0.0,23.0,23.0,2.0,1.0,2.0
Allie Olnowich,1.0,0.0,0.0,1.0,0.0,10.0,5.0,2.0,1.0,0.0
Paige Voight,9.0,0.0,0.0,11.0,0.0,9.0,18.0,1.0,3.0,3.0
Elena Orlando,2.0,0.0,0.0,6.0,1.0,11.0,12.0,1.0,1.0,0.0
Sarah Schwenzfeier,1.0,9.0,0.0,4.0,0.0,1.0,9.0,6.0,2.0,4.0
Kaycie Anderson,2.0,0.0,1.0,4.0,1.0,6.0,10.0,4.0,2.0,4.0
Taylor Marchin,5.0,0.0,0.0,5.0,0.0,12.0,13.0,6.0,3.0,1.0
Brooke Avery,1.0,0.0,0.0,4.0,0.0,7.0,7.0,0.0,1.0,1.0
Amanda Conway,2.0,0.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,2.0
Theresa Knutson,1.0,1.0,1.0,1.0,0.0,11.0,12.0,9.0,1.0,8.0
Cailey Hutchison,0.0,6.0,1.0,7.0,1.0,3.0,6.0,0.0,2.0,0.0
Mackenzie Lancaster,2.0,3.0,0.0,3.0,0.0,9.0,8.0,5.0,1.0,7.0
Maddie Bishop,1.0,0.0,0.0,2.0,0.0,5.0,7.0,2.0,1.0,3.0
Rebecca Morse,3.0,0.0,0.0,13.0,0.0,18.0,21.0,5.0,4.0,2.0
Jayne Lewis,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0
Kate Leary,4.0,0.0,0.0,3.0,0.0,12.0,12.0,2.0,0.0,4.0
Tera Hofmann,0.0,0.0,0.0,2.0,0.0,11.0,13.0,0.0,0.0,0.0
Grace Klienbach,2.0,0.0,0.0,2.0,0.0,6.0,5.0,3.0,1.0,2.0
Abbie Ives,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Katelynn Russ,4.0,0.0,1.0,7.0,0.0,11.0,14.0,5.0,1.0,2.0
