,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Taytum Clairmont,1.0,5.0,0.0,3.0,0.0,10.0,10.0,2.0,0.0,2.0
Julie Allen,3.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0
Kristen Barbara,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0
Emma Greco,7.0,0.0,0.0,8.0,0.0,10.0,17.0,4.0,4.0,1.0
Cassidy MacPherson,3.0,11.0,0.0,5.0,0.0,24.0,13.0,2.0,4.0,5.0
Erin Gehen,4.0,0.0,0.0,9.0,0.0,11.0,15.0,2.0,2.0,2.0
Dominique Kremer,9.0,0.0,0.0,10.0,0.0,25.0,25.0,6.0,4.0,10.0
Jordan Juron,5.0,7.0,0.0,7.0,0.0,14.0,11.0,4.0,1.0,4.0
Kristin Lewicki,5.0,0.0,0.0,6.0,0.0,18.0,16.0,2.0,3.0,5.0
Emma Woods,7.0,0.0,0.0,4.0,0.0,22.0,13.0,7.0,4.0,5.0
Brooke Boquist,4.0,1.0,1.0,10.0,1.0,16.0,13.0,8.0,2.0,5.0
Sarah Steele,3.0,0.0,0.0,12.0,1.0,25.0,31.0,2.0,4.0,2.0
Taylor Woods,5.0,0.0,1.0,6.0,1.0,23.0,23.0,5.0,1.0,4.0
Shiann Darkangelo,9.0,10.0,0.0,7.0,1.0,15.0,24.0,9.0,3.0,9.0
Autumn MacDougall,5.0,0.0,2.0,7.0,0.0,13.0,11.0,2.0,2.0,6.0
Neve Van Pelt,1.0,4.0,0.0,5.0,0.0,4.0,8.0,2.0,2.0,2.0
Lindsay Eastwood,6.0,0.0,0.0,16.0,1.0,24.0,31.0,6.0,4.0,2.0
Mackenzie MacNeil,6.0,0.0,0.0,3.0,0.0,7.0,9.0,6.0,1.0,9.0
Iveta Klimasova,2.0,0.0,0.0,1.0,0.0,5.0,4.0,1.0,2.0,1.0
Natalie Marcuzzi,14.0,2.0,0.0,2.0,0.0,10.0,16.0,6.0,6.0,8.0
Megan Delay,9.0,0.0,0.0,8.0,0.0,10.0,23.0,6.0,3.0,1.0
Lenka Curmova,3.0,0.0,0.0,2.0,1.0,7.0,9.0,7.0,6.0,1.0
Megan Quinn,7.0,0.0,1.0,4.0,0.0,23.0,29.0,2.0,0.0,1.0
Breanne Wilson-Bennett,6.0,6.0,0.0,4.0,0.0,12.0,12.0,4.0,2.0,5.0
Taylor Wasylk,4.0,2.0,0.0,3.0,0.0,3.0,10.0,3.0,1.0,2.0
Whitney Dove,4.0,0.0,0.0,6.0,1.0,29.0,30.0,3.0,1.0,5.0
Kayla Meneghin,3.0,1.0,0.0,4.0,2.0,4.0,6.0,0.0,0.0,4.0
Mikyla Grant-Mentis,0.0,7.0,0.0,8.0,0.0,15.0,14.0,3.0,3.0,6.0
Amy Curlew,2.0,0.0,0.0,2.0,0.0,7.0,5.0,2.0,0.0,4.0
Sarah-Eve Coutu Godbout,0.0,0.0,0.0,2.0,0.0,10.0,8.0,6.0,2.0,2.0
Emily Fluke,5.0,2.0,1.0,3.0,0.0,6.0,9.0,0.0,3.0,4.0
Alyson Matteau,5.0,0.0,0.0,8.0,0.0,23.0,23.0,3.0,7.0,6.0
Brooke Stacey,4.0,0.0,0.0,10.0,0.0,6.0,9.0,4.0,0.0,4.0
Carly Jackson,0.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,0.0,0.0
Hunter Accursi,2.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,1.0
Marie-Jo Pelletier,3.0,0.0,0.0,4.0,0.0,21.0,12.0,4.0,2.0,4.0
Elaine Chuli,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
Brittany Colton,2.0,0.0,0.0,2.0,0.0,4.0,5.0,2.0,0.0,5.0
