,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Stephanie Anderson,2.0,10.0,0.0,7.0,0.0,18.0,17.0,7.0,6.0,5.0
Maddie Rowe,4.0,0.0,0.0,11.0,1.0,26.0,36.0,5.0,3.0,3.0
Rebecca Morse,9.0,0.0,0.0,6.0,3.0,30.0,32.0,9.0,5.0,9.0
Sydney Baldwin,5.0,0.0,0.0,17.0,0.0,33.0,33.0,9.0,6.0,4.0
Saroya Tinker,6.0,0.0,0.0,4.0,0.0,7.0,15.0,3.0,3.0,0.0
Paige Voight,2.0,0.0,0.0,7.0,0.0,13.0,10.0,3.0,2.0,3.0
Meghan Lorence,2.0,0.0,0.0,8.0,0.0,23.0,12.0,8.0,5.0,3.0
Haylea Schmid,1.0,4.0,0.0,6.0,0.0,11.0,13.0,3.0,5.0,1.0
Madison Packer,3.0,1.0,0.0,11.0,2.0,39.0,22.0,7.0,8.0,10.0
Kiira Dosdall,3.0,0.0,0.0,8.0,0.0,39.0,24.0,10.0,4.0,7.0
Sammy Kolowrat,12.0,0.0,0.0,10.0,0.0,18.0,27.0,2.0,3.0,9.0
Chelsey Brodt-Rosenthal,4.0,0.0,0.0,2.0,0.0,5.0,11.0,2.0,1.0,1.0
Allie Thunstrom,9.0,1.0,0.0,2.0,0.0,11.0,17.0,4.0,4.0,7.0
Kelly Babstock,0.0,12.0,0.0,2.0,0.0,14.0,16.0,7.0,4.0,6.0
Emma Stauber,3.0,0.0,0.0,14.0,2.0,12.0,20.0,0.0,4.0,4.0
Rebecca Russo,1.0,0.0,0.0,5.0,0.0,8.0,5.0,1.0,1.0,2.0
Amanda Leveille,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0
Sara Bustad,4.0,0.0,0.0,5.0,0.0,8.0,12.0,4.0,2.0,5.0
Leila Kilduff,3.0,0.0,0.0,7.0,0.0,14.0,13.0,2.0,6.0,2.0
Jonna Curtis,7.0,5.0,0.0,4.0,0.0,11.0,14.0,7.0,3.0,8.0
Mallory Rushton,0.0,0.0,0.0,5.0,0.0,10.0,8.0,1.0,1.0,1.0
Audra Richards,6.0,2.0,0.0,8.0,0.0,9.0,14.0,7.0,4.0,9.0
Theresa Knutson,3.0,0.0,0.0,3.0,0.0,12.0,9.0,4.0,4.0,3.0
Kendall Cornine,5.0,3.0,0.0,5.0,0.0,12.0,10.0,6.0,3.0,6.0
Winny Brodt-Brown,1.0,0.0,0.0,5.0,0.0,8.0,9.0,1.0,1.0,3.0
Haley Mack,1.0,4.0,1.0,6.0,0.0,15.0,13.0,4.0,1.0,14.0
Jayne Lewis,3.0,0.0,0.0,6.0,0.0,5.0,6.0,3.0,0.0,2.0
Cailey Hutchison,4.0,9.0,0.0,4.0,0.0,8.0,9.0,4.0,5.0,1.0
Allie Olnowich,3.0,0.0,0.0,3.0,0.0,8.0,13.0,4.0,2.0,1.0
Brooke Avery,4.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0
Kate Leary,1.0,0.0,0.0,3.0,0.0,29.0,23.0,5.0,1.0,6.0
Nina Rodgers,1.0,0.0,0.0,6.0,1.0,10.0,10.0,6.0,5.0,2.0
Meaghan Pezon,2.0,0.0,0.0,8.0,0.0,16.0,10.0,1.0,4.0,4.0
Emily Janiga,1.0,3.0,0.0,7.0,0.0,9.0,7.0,4.0,6.0,4.0
Sonjia Shelly,0.0,0.0,0.0,2.0,0.0,6.0,8.0,0.0,0.0,0.0
Brooke White,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
Lynn Astrup,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
