,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Jillian Dempsey,3.0,16.0,0.0,3.0,0.0,10.0,13.0,5.0,1.0,4.0
McKenna Brand,3.0,0.0,0.0,5.0,0.0,22.0,18.0,7.0,0.0,8.0
Tereza Vanisova,0.0,7.0,0.0,5.0,1.0,18.0,13.0,0.0,2.0,4.0
Samantha Davis,3.0,0.0,0.0,7.0,0.0,19.0,22.0,8.0,1.0,7.0
Stephanie Anderson,4.0,9.0,0.0,8.0,0.0,14.0,16.0,1.0,0.0,5.0
Meghan Lorence,1.0,1.0,0.0,4.0,0.0,15.0,9.0,5.0,0.0,9.0
Mallory Souliotis,4.0,0.0,0.0,12.0,0.0,26.0,28.0,7.0,4.0,3.0
Taylor Wenczkowski,5.0,1.0,0.0,3.0,0.0,17.0,14.0,6.0,2.0,6.0
Sydney Baldwin,8.0,0.0,0.0,8.0,0.0,20.0,26.0,6.0,4.0,1.0
Kaleigh Fratkin,4.0,0.0,0.0,6.0,2.0,25.0,26.0,5.0,1.0,3.0
Allie Thunstrom,3.0,0.0,0.0,7.0,1.0,17.0,18.0,9.0,5.0,6.0
Chelsey Brodt-Rosenthal,5.0,0.0,0.0,9.0,1.0,11.0,23.0,0.0,1.0,1.0
Nina Rodgers,3.0,0.0,0.0,3.0,0.0,12.0,12.0,4.0,1.0,3.0
Emma Stauber,2.0,0.0,0.0,11.0,2.0,17.0,20.0,2.0,1.0,3.0
Christina Putigna,4.0,0.0,1.0,6.0,0.0,13.0,15.0,4.0,4.0,3.0
Haylea Schmid,2.0,2.0,0.0,4.0,1.0,8.0,7.0,4.0,1.0,6.0
Taylor Turnquist,3.0,0.0,0.0,5.0,0.0,18.0,16.0,3.0,2.0,4.0
Winny Brodt-Brown,2.0,0.0,1.0,5.0,1.0,5.0,12.0,0.0,1.0,0.0
Lauren Kelly,4.0,0.0,0.0,12.0,0.0,17.0,27.0,5.0,1.0,5.0
Lexie Laing,2.0,5.0,0.0,7.0,0.0,10.0,8.0,2.0,2.0,1.0
Mary Parker,2.0,0.0,0.0,3.0,0.0,9.0,10.0,3.0,2.0,4.0
Jenna Rheault,2.0,0.0,0.0,6.0,0.0,17.0,20.0,4.0,3.0,4.0
Paige Capistran,1.0,0.0,0.0,4.0,0.0,11.0,8.0,1.0,0.0,1.0
Tori Sullivan,2.0,0.0,0.0,6.0,0.0,5.0,12.0,2.0,1.0,4.0
Carlee Turner,2.0,4.0,0.0,0.0,0.0,4.0,8.0,3.0,2.0,2.0
Meaghan Rickard,1.0,0.0,0.0,6.0,0.0,8.0,12.0,1.0,5.0,1.0
Meghara McManus,4.0,0.0,0.0,4.0,1.0,4.0,9.0,4.0,0.0,7.0
Amanda Leveille,1.0,0.0,0.0,1.0,0.0,6.0,8.0,0.0,0.0,0.0
Haley Mack,2.0,0.0,0.0,7.0,0.0,13.0,16.0,4.0,1.0,6.0
Maddie Rowe,5.0,0.0,0.0,10.0,0.0,10.0,21.0,3.0,2.0,1.0
Jonna Curtis,6.0,6.0,1.0,13.0,0.0,12.0,18.0,4.0,1.0,8.0
Audra Richards,6.0,0.0,0.0,5.0,0.0,12.0,16.0,3.0,0.0,3.0
Meaghan Pezon,3.0,0.0,0.0,3.0,0.0,10.0,9.0,3.0,0.0,3.0
Sara Bustad,1.0,1.0,0.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0
Lynn Astrup,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0
Brooke White,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,2.0
Lovisa Selander,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
Rose Alleva,0.0,0.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0
