,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Kayla Friesen,6.0,16.0,1.0,11.0,0.0,9.0,22.0,10.0,4.0,8.0
Tori Howran,3.0,0.0,0.0,14.0,0.0,34.0,33.0,6.0,3.0,5.0
Shannon Doyle,4.0,0.0,0.0,11.0,0.0,40.0,40.0,6.0,3.0,1.0
Nicole Guagliardo,7.0,0.0,0.0,11.0,0.0,12.0,17.0,5.0,2.0,4.0
Alyson Matteau,5.0,0.0,0.0,14.0,0.0,29.0,42.0,4.0,5.0,1.0
Erin Gehen,12.0,0.0,0.0,13.0,1.0,11.0,18.0,3.0,1.0,8.0
Jordan Juron,10.0,12.0,0.0,7.0,0.0,15.0,22.0,4.0,6.0,9.0
Abbie Ives,0.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0
Marie-Jo Pelletier,8.0,0.0,0.0,7.0,0.0,27.0,37.0,5.0,6.0,2.0
Janine Weber,5.0,2.0,0.0,10.0,0.0,11.0,18.0,10.0,4.0,10.0
Carly Jackson,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0
Whitney Dove,3.0,0.0,0.0,3.0,0.0,13.0,23.0,6.0,2.0,3.0
Emma Vlasic,2.0,9.0,0.0,4.0,0.0,12.0,15.0,4.0,3.0,3.0
Dominique Kremer,9.0,0.0,0.0,12.0,0.0,17.0,27.0,1.0,6.0,4.0
Katelynn Russ,5.0,2.0,0.0,9.0,1.0,11.0,22.0,7.0,2.0,5.0
Alyssa Wohlfeiler,3.0,0.0,0.0,9.0,1.0,16.0,12.0,10.0,0.0,5.0
Autumn MacDougall,3.0,0.0,0.0,11.0,0.0,10.0,14.0,2.0,1.0,5.0
Maggie LaGue,3.0,0.0,0.0,10.0,0.0,24.0,28.0,10.0,6.0,5.0
Elena Orlando,6.0,0.0,0.0,12.0,0.0,12.0,25.0,3.0,3.0,3.0
Brooke Stacey,3.0,1.0,0.0,8.0,0.0,14.0,13.0,4.0,1.0,7.0
Kayla Meneghin,0.0,1.0,0.0,7.0,1.0,6.0,9.0,2.0,2.0,4.0
Hunter Accursi,2.0,0.0,0.0,2.0,0.0,5.0,5.0,2.0,1.0,0.0
Taylor Marchin,7.0,0.0,0.0,9.0,0.0,8.0,18.0,2.0,1.0,1.0
Grace Klienbach,4.0,0.0,0.0,4.0,0.0,3.0,13.0,4.0,1.0,5.0
Megan Delay,6.0,0.0,0.0,14.0,0.0,8.0,26.0,2.0,1.0,2.0
Sarah Schwenzfeier,2.0,6.0,0.0,11.0,0.0,10.0,17.0,1.0,3.0,2.0
Kaycie Anderson,3.0,1.0,0.0,8.0,0.0,5.0,17.0,6.0,1.0,1.0
Maddie Bishop,1.0,0.0,0.0,5.0,0.0,3.0,3.0,1.0,2.0,1.0
Amanda Conway,2.0,0.0,0.0,4.0,0.0,6.0,5.0,3.0,0.0,4.0
Iveta Klimasova,2.0,0.0,0.0,4.0,0.0,8.0,13.0,1.0,1.0,2.0
Mackenzie Lancaster,3.0,5.0,0.0,3.0,0.0,9.0,13.0,2.0,2.0,4.0
Neve Van Pelt,5.0,5.0,0.0,3.0,0.0,4.0,9.0,2.0,2.0,3.0
Kristin Lewicki,3.0,1.0,1.0,9.0,0.0,11.0,14.0,4.0,1.0,6.0
Hanna Beattie,6.0,0.0,0.0,12.0,0.0,19.0,31.0,2.0,4.0,3.0
Brittany Colton,2.0,0.0,0.0,1.0,0.0,3.0,4.0,2.0,2.0,2.0
Cassidy MacPherson,5.0,4.0,0.0,8.0,0.0,7.0,16.0,3.0,2.0,8.0
Lenka Curmova,4.0,0.0,0.0,7.0,0.0,6.0,16.0,1.0,0.0,2.0
