,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Cassidy MacPherson,2.0,11.0,0.0,8.0,0.0,15.0,13.0,7.0,6.0,6.0
Lenka Curmova,5.0,0.0,0.0,5.0,1.0,14.0,20.0,3.0,3.0,3.0
Lauren Kelly,6.0,0.0,1.0,14.0,0.0,19.0,26.0,7.0,3.0,2.0
Autumn MacDougall,5.0,0.0,0.0,10.0,0.0,7.0,13.0,4.0,2.0,6.0
Jordan Juron,5.0,6.0,0.0,8.0,0.0,7.0,15.0,4.0,2.0,7.0
Lovisa Selander,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
Whitney Dove,1.0,0.0,0.0,7.0,0.0,11.0,17.0,2.0,2.0,3.0
Kristin Lewicki,6.0,0.0,0.0,7.0,0.0,16.0,14.0,3.0,7.0,4.0
Dominique Kremer,5.0,0.0,0.0,11.0,0.0,18.0,26.0,4.0,7.0,5.0
Lexie Laing,2.0,11.0,0.0,10.0,1.0,17.0,16.0,2.0,0.0,2.0
Samantha Davis,0.0,0.0,1.0,11.0,0.0,11.0,16.0,4.0,5.0,9.0
Taylor Wasylk,9.0,4.0,0.0,5.0,2.0,11.0,15.0,5.0,1.0,3.0
Mallory Souliotis,3.0,0.0,2.0,8.0,0.0,16.0,22.0,6.0,3.0,3.0
Tereza Vanisova,0.0,7.0,0.0,5.0,0.0,20.0,16.0,4.0,4.0,13.0
Jillian Dempsey,0.0,8.0,0.0,6.0,0.0,12.0,7.0,2.0,8.0,0.0
Lisa Chesson,0.0,0.0,0.0,7.0,0.0,16.0,16.0,5.0,4.0,2.0
Brooke Stacey,2.0,0.0,0.0,5.0,0.0,17.0,12.0,4.0,3.0,4.0
Christina Putigna,3.0,0.0,0.0,3.0,0.0,10.0,13.0,4.0,1.0,5.0
McKenna Brand,3.0,0.0,1.0,5.0,0.0,14.0,16.0,5.0,0.0,8.0
Taylor Wenczkowski,0.0,0.0,0.0,4.0,0.0,15.0,11.0,2.0,0.0,2.0
Taylor Turnquist,6.0,0.0,0.0,9.0,0.0,21.0,20.0,4.0,4.0,1.0
Carlee Turner,2.0,3.0,0.0,7.0,0.0,15.0,8.0,2.0,4.0,3.0
Marie-Jo Pelletier,6.0,0.0,0.0,6.0,0.0,17.0,16.0,3.0,1.0,5.0
Briana Mastel,2.0,0.0,0.0,9.0,1.0,16.0,23.0,4.0,2.0,2.0
Paige Capistran,2.0,0.0,0.0,11.0,0.0,17.0,23.0,5.0,3.0,0.0
Hunter Accursi,1.0,1.0,0.0,5.0,0.0,2.0,8.0,1.0,0.0,3.0
Iveta Klimasova,4.0,0.0,0.0,6.0,0.0,6.0,11.0,5.0,1.0,5.0
Meghara McManus,4.0,0.0,1.0,8.0,0.0,8.0,11.0,2.0,5.0,10.0
Erin Gehen,6.0,0.0,0.0,8.0,0.0,13.0,18.0,3.0,3.0,3.0
Meaghan Rickard,0.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,4.0
Alyson Matteau,1.0,0.0,0.0,8.0,0.0,26.0,29.0,5.0,5.0,3.0
Kaleigh Fratkin,6.0,0.0,0.0,21.0,0.0,22.0,32.0,6.0,3.0,6.0
Tori Sullivan,1.0,0.0,0.0,0.0,0.0,15.0,10.0,2.0,2.0,2.0
Megan Delay,2.0,0.0,0.0,6.0,0.0,4.0,7.0,1.0,3.0,1.0
Carly Jackson,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
Brittany Colton,0.0,1.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,1.0
Caty Flagg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
