,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Julie Allen,3.0,4.0,0.0,4.0,0.0,11.0,9.0,1.0,3.0,3.0
Emily Fluke,4.0,0.0,0.0,6.0,0.0,7.0,11.0,4.0,0.0,4.0
Amy Curlew,3.0,1.0,1.0,3.0,0.0,7.0,7.0,0.0,0.0,3.0
Megan Quinn,5.0,0.0,0.0,11.0,0.0,29.0,35.0,4.0,4.0,3.0
Rachael Ade,2.0,0.0,0.0,2.0,0.0,6.0,11.0,4.0,2.0,3.0
Maddie Bishop,2.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,1.0,2.0
Taylor Woods,9.0,0.0,1.0,6.0,0.0,25.0,23.0,7.0,0.0,8.0
Laurel Hill,2.0,0.0,0.0,12.0,1.0,10.0,22.0,3.0,1.0,1.0
Shiann Darkangelo,4.0,9.0,0.0,12.0,0.0,29.0,27.0,5.0,3.0,8.0
Maggie LaGue,3.0,0.0,0.0,12.0,0.0,24.0,31.0,4.0,3.0,1.0
Taytum Clairmont,4.0,2.0,1.0,9.0,0.0,22.0,16.0,4.0,3.0,5.0
Emma Greco,3.0,0.0,0.0,14.0,0.0,17.0,27.0,2.0,0.0,0.0
Hanna Beattie,4.0,0.0,0.0,12.0,0.0,11.0,26.0,3.0,4.0,4.0
Emma Vlasic,7.0,13.0,0.0,9.0,0.0,19.0,20.0,4.0,4.0,5.0
Shannon Doyle,5.0,0.0,0.0,10.0,0.0,20.0,21.0,4.0,8.0,3.0
Mikyla Grant-Mentis,6.0,0.0,1.0,5.0,1.0,22.0,15.0,7.0,4.0,11.0
Alyssa Wohlfeiler,1.0,0.0,0.0,8.0,2.0,21.0,16.0,3.0,2.0,8.0
Natalie Marcuzzi,4.0,3.0,0.0,5.0,0.0,8.0,13.0,5.0,5.0,8.0
Katelynn Russ,8.0,3.0,0.0,7.0,0.0,9.0,13.0,5.0,4.0,9.0
Breanne Wilson-Bennett,1.0,7.0,0.0,9.0,0.0,23.0,22.0,5.0,4.0,7.0
Taylor Marchin,5.0,0.0,0.0,16.0,0.0,19.0,25.0,2.0,4.0,1.0
Elena Orlando,5.0,0.0,0.0,7.0,0.0,14.0,19.0,1.0,1.0,0.0
Lindsay Eastwood,3.0,0.0,0.0,20.0,0.0,37.0,29.0,4.0,1.0,1.0
Janine Weber,2.0,5.0,0.0,3.0,0.0,4.0,5.0,2.0,2.0,1.0
Mackenzie MacNeil,8.0,0.0,2.0,8.0,0.0,7.0,16.0,4.0,4.0,8.0
Amanda Conway,0.0,0.0,0.0,5.0,0.0,6.0,8.0,4.0,2.0,4.0
Kaycie Anderson,1.0,0.0,0.0,4.0,1.0,2.0,4.0,1.0,0.0,2.0
Grace Klienbach,2.0,0.0,0.0,4.0,1.0,5.0,5.0,0.0,1.0,2.0
Sarah Schwenzfeier,7.0,5.0,0.0,4.0,0.0,1.0,3.0,1.0,4.0,3.0
Sarah-Eve Coutu Godbout,3.0,0.0,0.0,5.0,1.0,7.0,9.0,8.0,3.0,7.0
Sarah Steele,2.0,0.0,0.0,10.0,0.0,33.0,27.0,1.0,0.0,2.0
Maeve Reilly,3.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,2.0
Sarah Hughson,1.0,3.0,0.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0
Elaine Chuli,0.0,0.0,0.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0
Abbie Ives,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Mariah Fujimagari,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0
