,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Lexie Laing,7.0,12.0,1.0,3.0,0.0,6.0,5.0,5.0,7.0,5.0
Paige Capistran,4.0,0.0,0.0,3.0,0.0,19.0,15.0,2.0,1.0,0.0
Lauren Kelly,11.0,0.0,0.0,17.0,0.0,30.0,31.0,7.0,2.0,1.0
Samantha Davis,3.0,1.0,2.0,2.0,1.0,10.0,9.0,7.0,3.0,8.0
Whitney Dove,5.0,0.0,0.0,11.0,1.0,19.0,31.0,4.0,0.0,3.0
Brooke Stacey,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0
Taylor Wasylk,3.0,0.0,0.0,4.0,1.0,8.0,6.0,1.0,1.0,2.0
Cassidy MacPherson,7.0,2.0,0.0,5.0,0.0,14.0,19.0,2.0,1.0,5.0
Tori Sullivan,2.0,1.0,0.0,3.0,0.0,21.0,12.0,2.0,2.0,5.0
Kristin Lewicki,2.0,0.0,1.0,4.0,0.0,13.0,11.0,2.0,2.0,9.0
Autumn MacDougall,2.0,0.0,0.0,7.0,0.0,11.0,11.0,8.0,1.0,2.0
Jillian Dempsey,1.0,13.0,1.0,5.0,0.0,16.0,8.0,2.0,3.0,4.0
Kaleigh Fratkin,5.0,0.0,0.0,12.0,0.0,31.0,25.0,6.0,1.0,4.0
Jordan Juron,5.0,5.0,0.0,6.0,0.0,13.0,17.0,3.0,3.0,5.0
Mallory Souliotis,3.0,0.0,1.0,14.0,0.0,31.0,30.0,4.0,1.0,3.0
Lenka Curmova,3.0,0.0,0.0,11.0,1.0,8.0,15.0,1.0,4.0,1.0
Christina Putigna,3.0,2.0,0.0,8.0,0.0,14.0,15.0,3.0,4.0,8.0
Lisa Chesson,4.0,0.0,0.0,10.0,1.0,12.0,16.0,2.0,3.0,1.0
Taylor Wenczkowski,5.0,2.0,0.0,4.0,1.0,16.0,16.0,7.0,2.0,4.0
Carlee Turner,3.0,7.0,0.0,2.0,0.0,14.0,10.0,4.0,2.0,4.0
Briana Mastel,6.0,0.0,0.0,8.0,0.0,21.0,25.0,2.0,1.0,0.0
Marie-Jo Pelletier,6.0,0.0,0.0,12.0,0.0,16.0,24.0,2.0,2.0,1.0
Hunter Accursi,2.0,2.0,0.0,2.0,1.0,4.0,5.0,2.0,0.0,3.0
Erin Gehen,1.0,0.0,0.0,5.0,0.0,11.0,7.0,4.0,1.0,9.0
Taylor Turnquist,3.0,0.0,0.0,9.0,0.0,33.0,24.0,7.0,0.0,3.0
Tereza Vanisova,1.0,6.0,0.0,3.0,1.0,17.0,17.0,5.0,2.0,8.0
Alyson Matteau,4.0,0.0,0.0,9.0,0.0,13.0,15.0,3.0,4.0,4.0
Dominique Kremer,6.0,0.0,0.0,7.0,0.0,8.0,20.0,1.0,1.0,5.0
Meghara McManus,6.0,0.0,0.0,1.0,0.0,5.0,12.0,7.0,3.0,7.0
Megan Delay,2.0,0.0,0.0,2.0,2.0,6.0,8.0,3.0,3.0,0.0
McKenna Brand,2.0,1.0,0.0,7.0,1.0,20.0,18.0,6.0,0.0,6.0
Meaghan Rickard,3.0,0.0,2.0,2.0,0.0,6.0,10.0,4.0,1.0,5.0
Neve Van Pelt,1.0,0.0,0.0,3.0,0.0,5.0,5.0,1.0,1.0,1.0
Brittany Colton,3.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,2.0,2.0
Iveta Klimasova,3.0,1.0,0.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0
Carly Jackson,1.0,0.0,0.0,1.0,0.0,9.0,10.0,0.0,1.0,0.0
Lovisa Selander,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
Jenna Rheault,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Victoria Hanson,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
