,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Jordan Juron,2.0,10.0,0.0,8.0,0.0,18.0,16.0,8.0,6.0,6.0
Marie-Jo Pelletier,10.0,0.0,0.0,9.0,0.0,20.0,22.0,2.0,7.0,3.0
Kristin Lewicki,6.0,0.0,0.0,6.0,0.0,15.0,14.0,6.0,1.0,6.0
Kaleigh Fratkin,12.0,0.0,0.0,14.0,0.0,33.0,44.0,3.0,5.0,5.0
Autumn MacDougall,7.0,0.0,1.0,9.0,0.0,13.0,14.0,0.0,0.0,4.0
Jillian Dempsey,4.0,9.0,0.0,6.0,0.0,11.0,15.0,5.0,3.0,3.0
Christina Putigna,3.0,0.0,0.0,6.0,1.0,11.0,21.0,13.0,1.0,7.0
Alyson Matteau,3.0,0.0,0.0,3.0,0.0,16.0,17.0,5.0,3.0,1.0
Mallory Souliotis,8.0,0.0,0.0,10.0,0.0,23.0,24.0,5.0,5.0,3.0
Erin Gehen,11.0,0.0,0.0,2.0,1.0,9.0,13.0,3.0,2.0,7.0
Tori Sullivan,3.0,0.0,0.0,1.0,0.0,25.0,11.0,2.0,2.0,3.0
Cassidy MacPherson,4.0,3.0,0.0,6.0,0.0,12.0,17.0,0.0,3.0,2.0
Whitney Dove,5.0,0.0,0.0,12.0,1.0,22.0,27.0,3.0,5.0,0.0
Lexie Laing,5.0,7.0,0.0,9.0,0.0,12.0,17.0,6.0,2.0,3.0
Samantha Davis,5.0,0.0,0.0,8.0,0.0,13.0,15.0,5.0,3.0,7.0
Taylor Turnquist,5.0,0.0,0.0,4.0,0.0,27.0,28.0,12.0,4.0,6.0
Briana Mastel,3.0,0.0,0.0,7.0,0.0,16.0,24.0,4.0,0.0,0.0
Carlee Turner,4.0,4.0,0.0,4.0,1.0,6.0,12.0,7.0,2.0,2.0
Taylor Wasylk,2.0,0.0,0.0,7.0,1.0,6.0,10.0,6.0,2.0,5.0
Paige Capistran,5.0,0.0,0.0,8.0,0.0,11.0,18.0,0.0,2.0,4.0
Lisa Chesson,7.0,0.0,1.0,12.0,1.0,18.0,30.0,2.0,1.0,1.0
Taylor Wenczkowski,5.0,0.0,0.0,2.0,1.0,11.0,11.0,6.0,0.0,3.0
Iveta Klimasova,1.0,0.0,0.0,8.0,1.0,4.0,10.0,2.0,0.0,3.0
Tereza Vanisova,1.0,7.0,0.0,4.0,1.0,13.0,14.0,7.0,3.0,7.0
Lauren Kelly,5.0,0.0,1.0,4.0,1.0,18.0,18.0,8.0,2.0,3.0
Hunter Accursi,4.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0
Brittany Colton,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0
McKenna Brand,6.0,0.0,0.0,3.0,1.0,25.0,20.0,10.0,3.0,11.0
Dominique Kremer,5.0,0.0,0.0,6.0,0.0,16.0,18.0,1.0,3.0,6.0
Meghara McManus,1.0,0.0,0.0,4.0,0.0,3.0,3.0,1.0,1.0,2.0
Meaghan Rickard,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0
Lenka Curmova,3.0,0.0,0.0,7.0,1.0,8.0,14.0,1.0,4.0,1.0
Lovisa Selander,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0
Neve Van Pelt,4.0,2.0,0.0,2.0,0.0,5.0,11.0,1.0,0.0,2.0
Brooke Stacey,3.0,1.0,0.0,2.0,0.0,7.0,4.0,6.0,1.0,4.0
Megan Delay,4.0,0.0,0.0,3.0,0.0,2.0,7.0,0.0,1.0,2.0
Carly Jackson,0.0,0.0,0.0,1.0,0.0,11.0,11.0,0.0,1.0,0.0
