,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
Shiann Darkangelo,3.0,19.0,0.0,12.0,2.0,31.0,28.0,6.0,4.0,6.0
Mikyla Grant-Mentis,8.0,0.0,2.0,10.0,1.0,20.0,18.0,6.0,2.0,10.0
Maddie Rowe,0.0,0.0,0.0,10.0,0.0,23.0,18.0,1.0,3.0,0.0
Meghan Lorence,6.0,0.0,0.0,2.0,0.0,21.0,12.0,4.0,0.0,6.0
Stephanie Anderson,6.0,10.0,0.0,5.0,0.0,19.0,13.0,5.0,5.0,6.0
Haley Mack,3.0,2.0,0.0,9.0,0.0,17.0,10.0,3.0,1.0,7.0
Taylor Woods,3.0,0.0,1.0,10.0,2.0,40.0,44.0,10.0,2.0,5.0
Sarah Steele,2.0,0.0,0.0,13.0,0.0,20.0,22.0,3.0,3.0,2.0
Taytum Clairmont,4.0,1.0,0.0,8.0,0.0,23.0,12.0,4.0,5.0,9.0
Winny Brodt-Brown,1.0,0.0,0.0,6.0,1.0,14.0,17.0,0.0,4.0,2.0
Lindsay Eastwood,2.0,0.0,0.0,9.0,0.0,28.0,30.0,6.0,2.0,2.0
Sydney Baldwin,4.0,0.0,0.0,6.0,0.0,30.0,25.0,6.0,7.0,3.0
Natalie Marcuzzi,4.0,2.0,0.0,9.0,0.0,17.0,21.0,7.0,3.0,3.0
Mackenzie MacNeil,2.0,1.0,0.0,7.0,0.0,9.0,14.0,6.0,1.0,7.0
Allie Thunstrom,3.0,0.0,0.0,9.0,0.0,10.0,8.0,11.0,3.0,14.0
Jonna Curtis,6.0,7.0,0.0,9.0,0.0,21.0,19.0,5.0,2.0,9.0
Megan Quinn,7.0,0.0,0.0,8.0,0.0,18.0,26.0,4.0,1.0,1.0
Emma Stauber,3.0,0.0,0.0,10.0,0.0,23.0,22.0,6.0,0.0,1.0
Meaghan Pezon,3.0,2.0,0.0,3.0,0.0,19.0,15.0,3.0,1.0,1.0
Julie Allen,1.0,2.0,0.0,4.0,0.0,9.0,8.0,1.0,3.0,0.0
Chelsey Brodt-Rosenthal,4.0,0.0,0.0,8.0,0.0,10.0,24.0,1.0,1.0,2.0
Emily Fluke,4.0,1.0,0.0,0.0,2.0,8.0,4.0,3.0,2.0,2.0
Sarah-Eve Coutu Godbout,6.0,1.0,1.0,3.0,0.0,7.0,6.0,7.0,3.0,9.0
Emma Greco,6.0,0.0,0.0,13.0,0.0,10.0,18.0,3.0,3.0,2.0
Nina Rodgers,4.0,1.0,2.0,3.0,1.0,10.0,14.0,4.0,4.0,2.0
Sara Bustad,1.0,0.0,0.0,5.0,0.0,10.0,14.0,5.0,0.0,0.0
Breanne Wilson-Bennett,5.0,7.0,0.0,8.0,0.0,11.0,18.0,5.0,7.0,4.0
Amanda Leveille,0.0,0.0,0.0,1.0,0.0,11.0,11.0,0.0,0.0,0.0
Audra Richards,8.0,0.0,1.0,10.0,1.0,3.0,13.0,2.0,0.0,5.0
Rose Alleva,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Elaine Chuli,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0
Amy Curlew,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0
Lynn Astrup,2.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0
Brooke White,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0
