Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Jillian Dempsey,1,0 days 00:20:00,3,0 days 00:01:43,0 days 00:58:17
McKenna Brand,1,0 days 00:19:58,3,0 days 00:00:51,0 days 00:59:07
Tereza Vanisova,1,0 days 00:19:53,3,0 days 00:00:28,0 days 00:59:25
Samantha Davis,1,0 days 00:19:52,3,0 days 00:00:05,0 days 00:59:47
Stephanie Anderson,1,0 days 00:19:50,3,0 days 00:04:24,0 days 00:55:26
Meghan Lorence,1,0 days 00:19:43,3,0 days 00:00:01,0 days 00:59:42
Mallory Souliotis,1,0 days 00:19:40,3,0 days 00:00:17,0 days 00:59:23
Taylor Wenczkowski,1,0 days 00:19:37,3,0 days 00:00:26,0 days 00:59:11
Sydney Baldwin,1,0 days 00:19:36,3,0 days 00:00:45,0 days 00:58:51
Kaleigh Fratkin,1,0 days 00:19:32,3,0 days 00:00:06,0 days 00:59:26
Allie Thunstrom,1,0 days 00:19:25,3,0 days 00:00:56,0 days 00:58:29
Chelsey Brodt-Rosenthal,1,0 days 00:19:12,3,0 days 00:01:53,0 days 00:57:19
Nina Rodgers,1,0 days 00:19:09,3,0 days 00:02:28,0 days 00:56:41
Emma Stauber,1,0 days 00:19:00,3,0 days 00:02:18,0 days 00:56:42
Christina Putigna,1,0 days 00:18:51,3,0 days 00:02:40,0 days 00:56:11
Haylea Schmid,1,0 days 00:18:41,3,0 days 00:02:46,0 days 00:55:55
Taylor Turnquist,1,0 days 00:18:39,3,0 days 00:01:14,0 days 00:57:25
Winny Brodt-Brown,1,0 days 00:18:32,3,0 days 00:10:41,0 days 00:47:51
Lauren Kelly,1,0 days 00:18:26,3,0 days 00:00:49,0 days 00:57:37
Lexie Laing,1,0 days 00:18:23,3,0 days 00:03:03,0 days 00:55:20
Mary Parker,1,0 days 00:18:20,3,0 days 00:02:58,0 days 00:55:22
Jenna Rheault,1,0 days 00:18:09,3,0 days 00:05:51,0 days 00:52:18
Paige Capistran,1,0 days 00:17:59,3,0 days 00:05:40,0 days 00:52:19
Tori Sullivan,1,0 days 00:17:53,3,0 days 00:03:43,0 days 00:54:10
Carlee Turner,1,0 days 00:17:46,3,0 days 00:05:38,0 days 00:52:08
Meaghan Rickard,1,0 days 00:17:36,3,0 days 00:12:06,0 days 00:45:30
Meghara McManus,1,0 days 00:17:20,3,0 days 00:00:03,0 days 00:57:17
Amanda Leveille,1,0 days 00:17:16,3,0 days 00:05:33,0 days 00:51:43
Haley Mack,1,0 days 00:17:14,3,0 days 00:02:16,0 days 00:54:58
Maddie Rowe,1,0 days 00:17:09,3,0 days 00:01:31,0 days 00:55:38
Jonna Curtis,1,0 days 00:16:12,3,0 days 00:03:44,0 days 00:52:28
Audra Richards,1,0 days 00:16:10,3,0 days 00:03:30,0 days 00:52:40
Meaghan Pezon,1,0 days 00:15:42,3,0 days 00:05:43,0 days 00:49:59
Sara Bustad,1,0 days 00:15:17,3,0 days 00:10:55,0 days 00:44:22
Lynn Astrup,1,0 days 00:15:05,2,0 days 00:03:57,0 days 00:31:08
Brooke White,1,0 days 00:14:58,3,0 days 00:10:49,0 days 00:44:09
Lovisa Selander,1,0 days 00:12:07,1,0 days 00:09:16,0 days 00:02:51
Rose Alleva,1,0 days 00:07:11,2,0 days 00:04:53,0 days 00:22:18
