Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Lexie Laing,1,0 days 00:20:00,3,0 days 00:01:08,0 days 00:58:52
Paige Capistran,1,0 days 00:19:59,3,0 days 00:05:29,0 days 00:54:30
Lauren Kelly,1,0 days 00:19:57,3,0 days 00:01:17,0 days 00:58:40
Samantha Davis,1,0 days 00:19:56,3,0 days 00:00:09,0 days 00:59:47
Whitney Dove,1,0 days 00:19:50,3,0 days 00:08:00,0 days 00:51:50
Brooke Stacey,1,0 days 00:19:46,1,0 days 00:02:37,0 days 00:17:09
Taylor Wasylk,1,0 days 00:19:45,3,0 days 00:06:27,0 days 00:53:18
Cassidy MacPherson,1,0 days 00:19:43,3,0 days 00:00:05,0 days 00:59:38
Tori Sullivan,1,0 days 00:19:23,3,0 days 00:01:09,0 days 00:58:14
Kristin Lewicki,1,0 days 00:19:17,3,0 days 00:01:47,0 days 00:57:30
Autumn MacDougall,1,0 days 00:19:13,3,0 days 00:01:45,0 days 00:57:28
Jillian Dempsey,1,0 days 00:19:12,3,0 days 00:10:14,0 days 00:48:58
Kaleigh Fratkin,1,0 days 00:19:11,3,0 days 00:03:17,0 days 00:55:54
Jordan Juron,1,0 days 00:19:08,3,0 days 00:08:59,0 days 00:50:09
Mallory Souliotis,1,0 days 00:19:04,3,0 days 00:03:41,0 days 00:55:23
Lenka Curmova,1,0 days 00:19:03,3,0 days 00:01:15,0 days 00:57:48
Christina Putigna,1,0 days 00:18:43,3,0 days 00:03:05,0 days 00:55:38
Lisa Chesson,1,0 days 00:18:29,3,0 days 00:03:38,0 days 00:54:51
Taylor Wenczkowski,1,0 days 00:18:27,3,0 days 00:02:10,0 days 00:56:17
Carlee Turner,1,0 days 00:18:15,3,0 days 00:01:37,0 days 00:56:38
Briana Mastel,1,0 days 00:18:14,3,0 days 00:00:03,0 days 00:58:11
Marie-Jo Pelletier,1,0 days 00:18:10,3,0 days 00:01:55,0 days 00:56:15
Hunter Accursi,1,0 days 00:18:07,3,0 days 00:01:26,0 days 00:56:41
Erin Gehen,1,0 days 00:18:04,3,0 days 00:03:00,0 days 00:55:04
Taylor Turnquist,1,0 days 00:17:54,3,0 days 00:00:09,0 days 00:57:45
Tereza Vanisova,1,0 days 00:17:50,3,0 days 00:02:11,0 days 00:55:39
Alyson Matteau,1,0 days 00:17:47,3,0 days 00:02:46,0 days 00:55:01
Dominique Kremer,1,0 days 00:17:32,3,0 days 00:03:48,0 days 00:53:44
Meghara McManus,1,0 days 00:17:26,3,0 days 00:01:19,0 days 00:56:07
Megan Delay,1,0 days 00:17:20,3,0 days 00:00:06,0 days 00:57:14
McKenna Brand,1,0 days 00:16:51,3,0 days 00:03:25,0 days 00:53:26
Meaghan Rickard,1,0 days 00:13:27,3,0 days 00:02:15,0 days 00:51:12
Neve Van Pelt,1,0 days 00:13:08,3,0 days 00:01:22,0 days 00:51:46
Brittany Colton,1,0 days 00:11:53,3,0 days 00:03:19,0 days 00:48:34
Iveta Klimasova,1,0 days 00:11:46,3,0 days 00:03:57,0 days 00:47:49
Carly Jackson,1,0 days 00:10:32,3,0 days 00:08:45,0 days 00:41:47
Lovisa Selander,2,0 days 00:19:15,3,0 days 00:12:35,0 days 00:26:40
Jenna Rheault,2,0 days 00:10:07,2,0 days 00:10:07,0 days 00:00:00
Victoria Hanson,3,0 days 00:11:10,3,0 days 00:04:43,0 days 00:06:27
