Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Stephanie Anderson,1,0 days 00:20:00,4,0 days 00:04:05,0 days 01:00:55
Maddie Rowe,1,0 days 00:19:57,4,0 days 00:00:02,0 days 01:04:55
Sydney Baldwin,1,0 days 00:19:53,4,0 days 00:00:26,0 days 01:04:27
Samantha Ridgewell,1,0 days 00:19:48,4,0 days 00:03:42,0 days 01:01:06
Haley Mack,1,0 days 00:19:41,4,0 days 00:01:00,0 days 01:03:41
Meghan Lorence,1,0 days 00:19:36,4,0 days 00:03:25,0 days 01:01:11
Mikyla Grant-Mentis,1,0 days 00:19:35,4,0 days 00:01:54,0 days 01:02:41
Lindsay Eastwood,1,0 days 00:19:23,4,0 days 00:01:09,0 days 01:03:14
Amy Curlew,1,0 days 00:19:20,3,0 days 00:02:54,0 days 00:56:26
Sarah-Eve Coutu Godbout,1,0 days 00:19:19,3,0 days 00:00:20,0 days 00:58:59
Emma Greco,1,0 days 00:19:06,4,0 days 00:00:36,0 days 01:03:30
Haylea Schmid,1,0 days 00:19:05,3,0 days 00:03:17,0 days 00:55:48
Kristen Barbara,1,0 days 00:19:02,4,0 days 00:00:01,0 days 01:04:01
Shiann Darkangelo,1,0 days 00:18:57,4,0 days 00:01:10,0 days 01:02:47
Emma Woods,1,0 days 00:18:55,4,0 days 00:00:43,0 days 01:03:12
Allie Thunstrom,1,0 days 00:18:50,4,0 days 00:01:44,0 days 01:02:06
Emma Stauber,1,0 days 00:18:45,3,0 days 00:01:01,0 days 00:57:44
Nina Rodgers,1,0 days 00:18:41,3,0 days 00:04:15,0 days 00:54:26
Chelsey Brodt-Rosenthal,1,0 days 00:18:36,4,0 days 00:02:29,0 days 01:01:07
Jonna Curtis,1,0 days 00:18:27,4,0 days 00:02:05,0 days 01:01:22
Winny Brodt-Brown,1,0 days 00:18:02,3,0 days 00:09:58,0 days 00:48:04
Meaghan Pezon,1,0 days 00:17:59,3,0 days 00:00:23,0 days 00:57:36
Sarah Steele,1,0 days 00:17:53,4,0 days 00:01:55,0 days 01:00:58
Audra Richards,1,0 days 00:17:47,4,0 days 00:02:22,0 days 01:00:25
Natalie Marcuzzi,1,0 days 00:17:36,4,0 days 00:03:09,0 days 00:59:27
Sara Bustad,1,0 days 00:17:30,3,0 days 00:09:47,0 days 00:47:43
Taylor Woods,1,0 days 00:17:28,4,0 days 00:00:55,0 days 01:01:33
Mackenzie MacNeil,1,0 days 00:17:25,4,0 days 00:03:15,0 days 00:59:10
Breanne Wilson-Bennett,1,0 days 00:17:20,4,0 days 00:00:09,0 days 01:02:11
Brooke Boquist,1,0 days 00:14:58,4,0 days 00:04:07,0 days 00:55:51
Megan Quinn,1,0 days 00:14:15,4,0 days 00:03:52,0 days 00:55:23
Taytum Clairmont,1,0 days 00:12:15,4,0 days 00:02:19,0 days 00:54:56
Julie Allen,1,0 days 00:05:43,3,0 days 00:14:48,0 days 00:30:55
Brooke White,1,0 days 00:05:33,3,0 days 00:02:46,0 days 00:42:47
Emily Fluke,1,0 days 00:05:24,3,0 days 00:10:37,0 days 00:34:47
Amanda Leveille,2,0 days 00:19:34,3,0 days 00:01:03,0 days 00:38:31
Lynn Astrup,2,0 days 00:10:12,2,0 days 00:03:35,0 days 00:06:37
Rose Alleva,2,0 days 00:01:31,2,0 days 00:00:50,0 days 00:00:41
