Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Shiann Darkangelo,1,0 days 00:20:00,3,0 days 00:00:19,0 days 00:59:41
Emma Greco,1,0 days 00:19:59,3,0 days 00:07:10,0 days 00:52:49
Sonjia Shelly,1,0 days 00:19:53,2,0 days 00:04:30,0 days 00:35:23
Sammy Kolowrat,1,0 days 00:19:51,3,0 days 00:01:33,0 days 00:58:18
Kiira Dosdall,1,0 days 00:19:49,3,0 days 00:00:16,0 days 00:59:33
Madison Packer,1,0 days 00:19:48,3,0 days 00:02:39,0 days 00:57:09
Emma Woods,1,0 days 00:19:45,3,0 days 00:00:39,0 days 00:59:06
Emily Janiga,1,0 days 00:19:26,3,0 days 00:00:25,0 days 00:59:01
Sarah Steele,1,0 days 00:19:22,3,0 days 00:00:06,0 days 00:59:16
Megan Quinn,1,0 days 00:19:15,3,0 days 00:00:02,0 days 00:59:13
Kelly Babstock,1,0 days 00:19:12,3,0 days 00:03:41,0 days 00:55:31
Jayne Lewis,1,0 days 00:19:10,3,0 days 00:04:18,0 days 00:54:52
Leila Kilduff,1,0 days 00:19:01,3,0 days 00:01:52,0 days 00:57:09
Breanne Wilson-Bennett,1,0 days 00:18:58,3,0 days 00:00:51,0 days 00:58:07
Lindsay Eastwood,1,0 days 00:18:55,3,0 days 00:00:27,0 days 00:58:28
Kendall Cornine,1,0 days 00:18:49,3,0 days 00:01:05,0 days 00:57:44
Paige Voight,1,0 days 00:18:42,3,0 days 00:09:30,0 days 00:49:12
Rebecca Morse,1,0 days 00:18:39,3,0 days 00:02:06,0 days 00:56:33
Natalie Marcuzzi,1,0 days 00:18:36,3,0 days 00:03:56,0 days 00:54:40
Taylor Woods,1,0 days 00:18:30,3,0 days 00:00:42,0 days 00:57:48
Mallory Rushton,1,0 days 00:18:22,3,0 days 00:00:47,0 days 00:57:35
Theresa Knutson,1,0 days 00:18:17,2,0 days 00:02:15,0 days 00:36:02
Allie Olnowich,1,0 days 00:18:11,3,0 days 00:08:47,0 days 00:49:24
Kristen Barbara,1,0 days 00:17:47,3,0 days 00:00:59,0 days 00:56:48
Elaine Chuli,1,0 days 00:17:14,3,0 days 00:02:14,0 days 00:55:00
Taytum Clairmont,1,0 days 00:17:06,3,0 days 00:17:03,0 days 00:40:03
Julie Allen,1,0 days 00:17:04,3,0 days 00:13:19,0 days 00:43:45
Rebecca Russo,1,0 days 00:16:58,3,0 days 00:01:50,0 days 00:55:08
Kate Leary,1,0 days 00:16:33,3,0 days 00:02:17,0 days 00:54:16
Emily Fluke,1,0 days 00:16:03,3,0 days 00:16:49,0 days 00:39:14
Mikyla Grant-Mentis,1,0 days 00:14:51,3,0 days 00:00:36,0 days 00:54:15
Sarah-Eve Coutu Godbout,1,0 days 00:14:50,3,0 days 00:01:38,0 days 00:53:12
Saroya Tinker,1,0 days 00:14:43,3,0 days 00:02:20,0 days 00:52:23
Amy Curlew,1,0 days 00:14:17,3,0 days 00:06:12,0 days 00:48:05
Brooke Avery,1,0 days 00:14:03,2,0 days 00:02:14,0 days 00:31:49
Mackenzie MacNeil,1,0 days 00:13:43,3,0 days 00:00:53,0 days 00:52:50
Brooke Boquist,1,0 days 00:12:40,3,0 days 00:00:05,0 days 00:52:35
Cailey Hutchison,2,0 days 00:17:26,2,0 days 00:02:10,0 days 00:15:16
