Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Cassidy MacPherson,1,0 days 00:20:00,3,0 days 00:03:09,0 days 00:56:51
Lenka Curmova,1,0 days 00:19:59,3,0 days 00:00:54,0 days 00:59:05
Lauren Kelly,1,0 days 00:19:52,3,0 days 00:00:10,0 days 00:59:42
Autumn MacDougall,1,0 days 00:19:43,3,0 days 00:01:10,0 days 00:58:33
Jordan Juron,1,0 days 00:19:41,3,0 days 00:00:11,0 days 00:59:30
Lovisa Selander,1,0 days 00:19:39,3,0 days 00:15:56,0 days 00:43:43
Whitney Dove,1,0 days 00:19:33,3,0 days 00:02:15,0 days 00:57:18
Kristin Lewicki,1,0 days 00:19:31,3,0 days 00:01:35,0 days 00:57:56
Dominique Kremer,1,0 days 00:19:28,3,0 days 00:03:08,0 days 00:56:20
Lexie Laing,1,0 days 00:19:17,3,0 days 00:03:35,0 days 00:55:42
Samantha Davis,1,0 days 00:19:07,3,0 days 00:05:52,0 days 00:53:15
Taylor Wasylk,1,0 days 00:19:00,3,0 days 00:00:38,0 days 00:58:22
Mallory Souliotis,1,0 days 00:18:55,3,0 days 00:02:56,0 days 00:55:59
Tereza Vanisova,1,0 days 00:18:50,3,0 days 00:00:24,0 days 00:58:26
Jillian Dempsey,1,0 days 00:18:42,3,0 days 00:08:26,0 days 00:50:16
Lisa Chesson,1,0 days 00:18:37,3,0 days 00:00:50,0 days 00:57:47
Brooke Stacey,1,0 days 00:18:31,3,0 days 00:03:19,0 days 00:55:12
Christina Putigna,1,0 days 00:18:26,3,0 days 00:02:47,0 days 00:55:39
McKenna Brand,1,0 days 00:18:24,3,0 days 00:02:52,0 days 00:55:32
Taylor Wenczkowski,1,0 days 00:18:11,3,0 days 00:00:18,0 days 00:57:53
Taylor Turnquist,1,0 days 00:18:10,3,0 days 00:01:26,0 days 00:56:44
Carlee Turner,1,0 days 00:18:05,3,0 days 00:00:14,0 days 00:57:51
Marie-Jo Pelletier,1,0 days 00:18:02,3,0 days 00:10:09,0 days 00:47:53
Briana Mastel,1,0 days 00:17:57,3,0 days 00:00:20,0 days 00:57:37
Paige Capistran,1,0 days 00:17:12,3,0 days 00:01:56,0 days 00:55:16
Hunter Accursi,1,0 days 00:17:06,3,0 days 00:00:14,0 days 00:56:52
Iveta Klimasova,1,0 days 00:16:53,3,0 days 00:07:47,0 days 00:49:06
Meghara McManus,1,0 days 00:16:23,3,0 days 00:01:36,0 days 00:54:47
Erin Gehen,1,0 days 00:16:13,3,0 days 00:08:15,0 days 00:47:58
Meaghan Rickard,1,0 days 00:15:51,3,0 days 00:01:04,0 days 00:54:47
Alyson Matteau,1,0 days 00:15:31,3,0 days 00:00:03,0 days 00:55:28
Kaleigh Fratkin,1,0 days 00:15:25,3,0 days 00:02:29,0 days 00:52:56
Tori Sullivan,1,0 days 00:13:46,3,0 days 00:05:30,0 days 00:48:16
Megan Delay,1,0 days 00:13:26,3,0 days 00:02:38,0 days 00:50:48
Carly Jackson,1,0 days 00:11:29,2,0 days 00:07:47,0 days 00:23:42
Brittany Colton,1,0 days 00:09:52,3,0 days 00:07:09,0 days 00:42:43
Caty Flagg,3,0 days 00:00:06,3,0 days 00:00:06,0 days 00:00:00
