Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Emma Vlasic,1,0 days 00:20:00,3,0 days 00:02:33,0 days 00:57:27
Maggie LaGue,1,0 days 00:19:59,3,0 days 00:02:58,0 days 00:57:01
Hanna Beattie,1,0 days 00:19:56,3,0 days 00:03:50,0 days 00:56:06
Alyssa Wohlfeiler,1,0 days 00:19:53,3,0 days 00:07:26,0 days 00:52:27
Mallory Souliotis,1,0 days 00:19:47,3,0 days 00:00:06,0 days 00:59:41
Lexie Laing,1,0 days 00:19:41,3,0 days 00:02:08,0 days 00:57:33
Kaleigh Fratkin,1,0 days 00:19:39,3,0 days 00:01:01,0 days 00:58:38
Shannon Doyle,1,0 days 00:19:24,3,0 days 00:00:13,0 days 00:59:11
Janine Weber,1,0 days 00:19:17,3,0 days 00:02:58,0 days 00:56:19
Tereza Vanisova,1,0 days 00:19:08,3,0 days 00:00:41,0 days 00:58:27
Taylor Turnquist,1,0 days 00:19:04,3,0 days 00:00:31,0 days 00:58:33
Kayla Friesen,1,0 days 00:18:54,3,0 days 00:00:34,0 days 00:58:20
Samantha Davis,1,0 days 00:18:37,3,0 days 00:03:05,0 days 00:55:32
Taylor Marchin,1,0 days 00:18:33,3,0 days 00:06:30,0 days 00:52:03
Elena Orlando,1,0 days 00:18:24,3,0 days 00:07:20,0 days 00:51:04
Sarah Schwenzfeier,1,0 days 00:18:17,3,0 days 00:05:12,0 days 00:53:05
Lauren Kelly,1,0 days 00:18:16,3,0 days 00:01:10,0 days 00:57:06
Carlee Turner,1,0 days 00:18:14,3,0 days 00:01:07,0 days 00:57:07
Meghara McManus,1,0 days 00:18:11,3,0 days 00:00:53,0 days 00:57:18
Grace Klienbach,1,0 days 00:18:07,3,0 days 00:07:02,0 days 00:51:05
Kaycie Anderson,1,0 days 00:18:06,3,0 days 00:01:09,0 days 00:56:57
Taylor Wenczkowski,1,0 days 00:17:59,3,0 days 00:03:45,0 days 00:54:14
Paige Capistran,1,0 days 00:17:36,3,0 days 00:15:58,0 days 00:41:38
Tori Sullivan,1,0 days 00:17:34,3,0 days 00:00:10,0 days 00:57:24
Abbie Ives,1,0 days 00:17:31,3,0 days 00:15:01,0 days 00:42:30
Laurel Hill,1,0 days 00:17:29,3,0 days 00:06:09,0 days 00:51:20
Maddie Bishop,1,0 days 00:17:25,1,0 days 00:09:24,0 days 00:08:01
Meaghan Rickard,1,0 days 00:17:22,3,0 days 00:00:28,0 days 00:56:54
Christina Putigna,1,0 days 00:16:52,3,0 days 00:01:22,0 days 00:55:30
Tori Howran,1,0 days 00:16:39,3,0 days 00:02:34,0 days 00:54:05
Mackenzie Lancaster,1,0 days 00:16:28,3,0 days 00:00:23,0 days 00:56:05
Mary Parker,1,0 days 00:16:16,3,0 days 00:00:12,0 days 00:56:04
Briana Mastel,1,0 days 00:15:44,3,0 days 00:00:04,0 days 00:55:40
Amanda Conway,1,0 days 00:13:51,3,0 days 00:07:28,0 days 00:46:23
Katelynn Russ,1,0 days 00:13:06,3,0 days 00:00:21,0 days 00:52:45
McKenna Brand,1,0 days 00:12:22,3,0 days 00:01:23,0 days 00:50:59
Victoria Hanson,1,0 days 00:10:36,3,0 days 00:04:40,0 days 00:45:56
