Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Julie Allen,1,0 days 00:20:00,3,0 days 00:05:28,0 days 00:54:32
Emily Fluke,1,0 days 00:19:59,3,0 days 00:07:09,0 days 00:52:50
Amy Curlew,1,0 days 00:19:57,3,0 days 00:03:22,0 days 00:56:35
Megan Quinn,1,0 days 00:19:50,3,0 days 00:00:08,0 days 00:59:42
Rachael Ade,1,0 days 00:19:49,3,0 days 00:11:48,0 days 00:48:01
Maddie Bishop,1,0 days 00:19:29,3,0 days 00:04:47,0 days 00:54:42
Taylor Woods,1,0 days 00:19:28,3,0 days 00:01:09,0 days 00:58:19
Laurel Hill,1,0 days 00:19:24,3,0 days 00:04:48,0 days 00:54:36
Shiann Darkangelo,1,0 days 00:19:20,3,0 days 00:01:30,0 days 00:57:50
Maggie LaGue,1,0 days 00:19:18,3,0 days 00:00:04,0 days 00:59:14
Taytum Clairmont,1,0 days 00:19:10,3,0 days 00:04:06,0 days 00:55:04
Emma Greco,1,0 days 00:19:07,3,0 days 00:02:00,0 days 00:57:07
Hanna Beattie,1,0 days 00:19:06,3,0 days 00:03:28,0 days 00:55:38
Emma Vlasic,1,0 days 00:19:03,3,0 days 00:00:07,0 days 00:58:56
Shannon Doyle,1,0 days 00:18:58,3,0 days 00:00:21,0 days 00:58:37
Mikyla Grant-Mentis,1,0 days 00:18:55,3,0 days 00:01:27,0 days 00:57:28
Alyssa Wohlfeiler,1,0 days 00:18:51,3,0 days 00:00:16,0 days 00:58:35
Natalie Marcuzzi,1,0 days 00:18:37,3,0 days 00:05:41,0 days 00:52:56
Katelynn Russ,1,0 days 00:18:17,3,0 days 00:00:13,0 days 00:58:04
Breanne Wilson-Bennett,1,0 days 00:18:13,3,0 days 00:01:24,0 days 00:56:49
Taylor Marchin,1,0 days 00:18:08,3,0 days 00:01:07,0 days 00:57:01
Elena Orlando,1,0 days 00:18:03,3,0 days 00:03:56,0 days 00:54:07
Lindsay Eastwood,1,0 days 00:18:02,3,0 days 00:01:41,0 days 00:56:21
Janine Weber,1,0 days 00:17:59,3,0 days 00:18:11,0 days 00:39:48
Mackenzie MacNeil,1,0 days 00:17:58,3,0 days 00:00:52,0 days 00:57:06
Amanda Conway,1,0 days 00:17:49,3,0 days 00:01:14,0 days 00:56:35
Kaycie Anderson,1,0 days 00:17:21,3,0 days 00:03:31,0 days 00:53:50
Grace Klienbach,1,0 days 00:17:19,3,0 days 00:03:50,0 days 00:53:29
Sarah Schwenzfeier,1,0 days 00:17:17,3,0 days 00:01:13,0 days 00:56:04
Sarah-Eve Coutu Godbout,1,0 days 00:17:15,3,0 days 00:02:33,0 days 00:54:42
Sarah Steele,1,0 days 00:16:52,3,0 days 00:00:27,0 days 00:56:25
Maeve Reilly,1,0 days 00:15:03,3,0 days 00:06:37,0 days 00:48:26
Sarah Hughson,1,0 days 00:13:44,3,0 days 00:05:08,0 days 00:48:36
Elaine Chuli,1,0 days 00:09:40,2,0 days 00:02:22,0 days 00:27:18
Abbie Ives,2,0 days 00:18:54,2,0 days 00:16:43,0 days 00:02:11
Mariah Fujimagari,3,0 days 00:09:26,3,0 days 00:00:53,0 days 00:08:33
