Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Jordan Juron,1,0 days 00:20:00,3,0 days 00:01:37,0 days 00:58:23
Kristin Lewicki,1,0 days 00:19:57,3,0 days 00:01:06,0 days 00:58:51
Marie-Jo Pelletier,1,0 days 00:19:55,3,0 days 00:01:41,0 days 00:58:14
Jillian Dempsey,1,0 days 00:19:55,3,0 days 00:00:09,0 days 00:59:46
Kaleigh Fratkin,1,0 days 00:19:52,3,0 days 00:00:23,0 days 00:59:29
Mallory Souliotis,1,0 days 00:19:49,3,0 days 00:00:03,0 days 00:59:46
McKenna Brand,1,0 days 00:19:42,3,0 days 00:00:05,0 days 00:59:37
Alyson Matteau,1,0 days 00:19:28,3,0 days 00:01:22,0 days 00:58:06
Christina Putigna,1,0 days 00:19:20,3,0 days 00:04:23,0 days 00:54:57
Mary Parker,1,0 days 00:19:03,3,0 days 00:07:21,0 days 00:51:42
Tori Sullivan,1,0 days 00:19:01,3,0 days 00:07:49,0 days 00:51:12
Lexie Laing,1,0 days 00:18:51,3,0 days 00:02:14,0 days 00:56:37
Jenna Rheault,1,0 days 00:18:35,2,0 days 00:17:55,0 days 00:20:40
Brooke Stacey,1,0 days 00:18:28,3,0 days 00:01:26,0 days 00:57:02
Dominique Kremer,1,0 days 00:18:17,3,0 days 00:00:32,0 days 00:57:45
Autumn MacDougall,1,0 days 00:18:16,3,0 days 00:02:58,0 days 00:55:18
Tereza Vanisova,1,0 days 00:18:14,3,0 days 00:00:45,0 days 00:57:29
Samantha Davis,1,0 days 00:18:13,3,0 days 00:06:29,0 days 00:51:44
Taylor Wenczkowski,1,0 days 00:18:11,3,0 days 00:03:31,0 days 00:54:40
Lauren Kelly,1,0 days 00:18:05,3,0 days 00:01:53,0 days 00:56:12
Whitney Dove,1,0 days 00:17:59,3,0 days 00:00:30,0 days 00:57:29
Carlee Turner,1,0 days 00:17:46,3,0 days 00:02:39,0 days 00:55:07
Meaghan Rickard,1,0 days 00:17:41,3,0 days 00:05:49,0 days 00:51:52
Megan Delay,1,0 days 00:17:41,3,0 days 00:04:39,0 days 00:53:02
Iveta Klimasova,1,0 days 00:17:39,3,0 days 00:05:00,0 days 00:52:39
Brittany Colton,1,0 days 00:17:34,3,0 days 00:05:01,0 days 00:52:33
Paige Capistran,1,0 days 00:17:28,3,0 days 00:01:42,0 days 00:55:46
Lenka Curmova,1,0 days 00:17:17,3,0 days 00:00:11,0 days 00:57:06
Taylor Turnquist,1,0 days 00:16:23,3,0 days 00:00:34,0 days 00:55:49
Erin Gehen,1,0 days 00:15:47,3,0 days 00:03:06,0 days 00:52:41
Neve Van Pelt,1,0 days 00:15:22,3,0 days 00:07:13,0 days 00:48:09
Cassidy MacPherson,1,0 days 00:15:03,3,0 days 00:03:00,0 days 00:52:03
Kayla Meneghin,1,0 days 00:14:08,3,0 days 00:15:31,0 days 00:38:37
Hunter Accursi,1,0 days 00:14:03,3,0 days 00:09:54,0 days 00:44:09
Meghara McManus,1,0 days 00:12:14,3,0 days 00:02:44,0 days 00:49:30
Victoria Hanson,1,0 days 00:09:59,3,0 days 00:10:33,0 days 00:39:26
Carly Jackson,1,0 days 00:00:02,3,0 days 00:06:13,0 days 00:33:49
