Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Breanne Wilson-Bennett,1,0 days 00:20:00,3,0 days 00:00:05,0 days 00:59:55
Natalie Marcuzzi,1,0 days 00:19:59,3,0 days 00:00:01,0 days 00:59:58
Sarah Steele,1,0 days 00:19:55,3,0 days 00:07:28,0 days 00:52:27
Kaleigh Fratkin,1,0 days 00:19:53,3,0 days 00:00:37,0 days 00:59:16
Elaine Chuli,1,0 days 00:19:49,1,0 days 00:11:23,0 days 00:08:26
Mallory Souliotis,1,0 days 00:19:37,3,0 days 00:00:16,0 days 00:59:21
Mackenzie MacNeil,1,0 days 00:19:21,3,0 days 00:00:41,0 days 00:58:40
Jillian Dempsey,1,0 days 00:19:10,3,0 days 00:03:59,0 days 00:55:11
McKenna Brand,1,0 days 00:19:09,3,0 days 00:00:53,0 days 00:58:16
Lauren Kelly,1,0 days 00:19:00,3,0 days 00:01:37,0 days 00:57:23
Megan Quinn,1,0 days 00:18:59,3,0 days 00:01:17,0 days 00:57:42
Lindsay Eastwood,1,0 days 00:18:53,3,0 days 00:01:42,0 days 00:57:11
Shiann Darkangelo,1,0 days 00:18:41,3,0 days 00:01:14,0 days 00:57:27
Mary Parker,1,0 days 00:18:40,3,0 days 00:01:05,0 days 00:57:35
Brooke Boquist,1,0 days 00:18:30,3,0 days 00:00:47,0 days 00:57:43
Taylor Turnquist,1,0 days 00:18:20,3,0 days 00:01:49,0 days 00:56:31
Taylor Wenczkowski,1,0 days 00:18:00,3,0 days 00:00:34,0 days 00:57:26
Emma Woods,1,0 days 00:17:56,3,0 days 00:01:12,0 days 00:56:44
Briana Mastel,1,0 days 00:17:51,3,0 days 00:06:32,0 days 00:51:19
Kristen Barbara,1,0 days 00:17:42,3,0 days 00:05:23,0 days 00:52:19
Meaghan Rickard,1,0 days 00:17:35,2,0 days 00:02:54,0 days 00:34:41
Carlee Turner,1,0 days 00:17:31,3,0 days 00:09:59,0 days 00:47:32
Amy Curlew,1,0 days 00:17:27,3,0 days 00:04:40,0 days 00:52:47
Emma Greco,1,0 days 00:17:10,3,0 days 00:00:11,0 days 00:56:59
Mikyla Grant-Mentis,1,0 days 00:17:04,3,0 days 00:06:56,0 days 00:50:08
Meghara McManus,1,0 days 00:17:04,3,0 days 00:08:01,0 days 00:49:03
Paige Capistran,1,0 days 00:17:01,3,0 days 00:05:20,0 days 00:51:41
Christina Putigna,1,0 days 00:16:42,3,0 days 00:01:07,0 days 00:55:35
Emily Fluke,1,0 days 00:16:36,3,0 days 00:02:32,0 days 00:54:04
Taytum Clairmont,1,0 days 00:16:25,2,0 days 00:15:12,0 days 00:21:13
Lexie Laing,1,0 days 00:16:03,3,0 days 00:00:24,0 days 00:55:39
Taylor Woods,1,0 days 00:16:02,3,0 days 00:00:01,0 days 00:56:01
Tori Sullivan,1,0 days 00:15:12,2,0 days 00:03:53,0 days 00:31:19
Tereza Vanisova,1,0 days 00:14:57,3,0 days 00:00:31,0 days 00:54:26
Sarah-Eve Coutu Godbout,1,0 days 00:14:16,3,0 days 00:04:36,0 days 00:49:40
Julie Allen,1,0 days 00:13:39,3,0 days 00:13:51,0 days 00:39:48
Samantha Davis,1,0 days 00:11:12,3,0 days 00:00:14,0 days 00:50:58
Lovisa Selander,2,0 days 00:12:05,3,0 days 00:05:30,0 days 00:26:35
