Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Shiann Darkangelo,1,0 days 00:20:00,3,0 days 00:00:00,0 days 01:00:00
Mikyla Grant-Mentis,1,0 days 00:19:59,3,0 days 00:00:26,0 days 00:59:33
Maddie Rowe,1,0 days 00:19:53,3,0 days 00:04:54,0 days 00:54:59
Meghan Lorence,1,0 days 00:19:50,3,0 days 00:00:20,0 days 00:59:30
Stephanie Anderson,1,0 days 00:19:47,3,0 days 00:00:14,0 days 00:59:33
Haley Mack,1,0 days 00:19:40,3,0 days 00:01:10,0 days 00:58:30
Taylor Woods,1,0 days 00:19:37,3,0 days 00:00:44,0 days 00:58:53
Sarah Steele,1,0 days 00:19:33,3,0 days 00:01:32,0 days 00:58:01
Taytum Clairmont,1,0 days 00:19:30,3,0 days 00:00:30,0 days 00:59:00
Winny Brodt-Brown,1,0 days 00:19:26,3,0 days 00:03:17,0 days 00:56:09
Lindsay Eastwood,1,0 days 00:19:18,3,0 days 00:00:18,0 days 00:59:00
Sydney Baldwin,1,0 days 00:19:17,3,0 days 00:00:36,0 days 00:58:41
Natalie Marcuzzi,1,0 days 00:19:13,3,0 days 00:01:59,0 days 00:57:14
Mackenzie MacNeil,1,0 days 00:19:01,3,0 days 00:02:00,0 days 00:57:01
Allie Thunstrom,1,0 days 00:18:57,3,0 days 00:03:13,0 days 00:55:44
Jonna Curtis,1,0 days 00:18:51,3,0 days 00:03:01,0 days 00:55:50
Megan Quinn,1,0 days 00:18:49,3,0 days 00:05:39,0 days 00:53:10
Emma Stauber,1,0 days 00:18:48,3,0 days 00:00:12,0 days 00:58:36
Meaghan Pezon,1,0 days 00:18:41,3,0 days 00:03:00,0 days 00:55:41
Julie Allen,1,0 days 00:18:30,3,0 days 00:01:35,0 days 00:56:55
Chelsey Brodt-Rosenthal,1,0 days 00:18:26,3,0 days 00:04:01,0 days 00:54:25
Emily Fluke,1,0 days 00:18:24,3,0 days 00:06:16,0 days 00:52:08
Sarah-Eve Coutu Godbout,1,0 days 00:18:17,3,0 days 00:03:47,0 days 00:54:30
Emma Greco,1,0 days 00:18:08,3,0 days 00:03:25,0 days 00:54:43
Nina Rodgers,1,0 days 00:18:07,3,0 days 00:01:41,0 days 00:56:26
Sara Bustad,1,0 days 00:17:21,3,0 days 00:00:34,0 days 00:56:47
Breanne Wilson-Bennett,1,0 days 00:17:02,3,0 days 00:00:52,0 days 00:56:10
Amanda Leveille,1,0 days 00:16:06,3,0 days 00:02:17,0 days 00:53:49
Audra Richards,1,0 days 00:14:54,3,0 days 00:00:11,0 days 00:54:43
Rose Alleva,1,0 days 00:14:24,1,0 days 00:07:24,0 days 00:07:00
Elaine Chuli,1,0 days 00:14:07,3,0 days 00:02:57,0 days 00:51:10
Amy Curlew,1,0 days 00:10:36,3,0 days 00:11:31,0 days 00:39:05
Lynn Astrup,1,0 days 00:08:56,3,0 days 00:04:29,0 days 00:44:27
Brooke White,2,0 days 00:05:23,3,0 days 00:02:40,0 days 00:22:43
