Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Taytum Clairmont,1,0 days 00:20:00,3,0 days 00:06:17,0 days 00:53:43
Julie Allen,1,0 days 00:19:59,3,0 days 00:18:12,0 days 00:41:47
Kristen Barbara,1,0 days 00:19:58,1,0 days 00:17:11,0 days 00:02:47
Emma Greco,1,0 days 00:19:55,3,0 days 00:01:38,0 days 00:58:17
Cassidy MacPherson,1,0 days 00:19:50,3,0 days 00:01:46,0 days 00:58:04
Erin Gehen,1,0 days 00:19:43,3,0 days 00:01:49,0 days 00:57:54
Dominique Kremer,1,0 days 00:19:28,3,0 days 00:01:44,0 days 00:57:44
Jordan Juron,1,0 days 00:19:17,3,0 days 00:00:13,0 days 00:59:04
Kristin Lewicki,1,0 days 00:19:15,3,0 days 00:03:02,0 days 00:56:13
Emma Woods,1,0 days 00:19:12,3,0 days 00:02:35,0 days 00:56:37
Brooke Boquist,1,0 days 00:19:03,3,0 days 00:02:15,0 days 00:56:48
Sarah Steele,1,0 days 00:18:57,3,0 days 00:02:46,0 days 00:56:11
Taylor Woods,1,0 days 00:18:54,3,0 days 00:00:03,0 days 00:58:51
Shiann Darkangelo,1,0 days 00:18:51,3,0 days 00:00:45,0 days 00:58:06
Autumn MacDougall,1,0 days 00:18:41,3,0 days 00:02:40,0 days 00:56:01
Neve Van Pelt,1,0 days 00:18:22,3,0 days 00:04:29,0 days 00:53:53
Lindsay Eastwood,1,0 days 00:18:19,3,0 days 00:00:25,0 days 00:57:54
Mackenzie MacNeil,1,0 days 00:18:16,3,0 days 00:01:07,0 days 00:57:09
Iveta Klimasova,1,0 days 00:18:13,2,0 days 00:05:15,0 days 00:32:58
Natalie Marcuzzi,1,0 days 00:18:11,3,0 days 00:01:29,0 days 00:56:42
Megan Delay,1,0 days 00:18:07,3,0 days 00:02:27,0 days 00:55:40
Lenka Curmova,1,0 days 00:18:04,3,0 days 00:03:34,0 days 00:54:30
Megan Quinn,1,0 days 00:17:54,3,0 days 00:02:52,0 days 00:55:02
Breanne Wilson-Bennett,1,0 days 00:17:53,3,0 days 00:00:02,0 days 00:57:51
Taylor Wasylk,1,0 days 00:17:49,3,0 days 00:00:37,0 days 00:57:12
Whitney Dove,1,0 days 00:17:41,3,0 days 00:01:42,0 days 00:55:59
Kayla Meneghin,1,0 days 00:17:36,3,0 days 00:09:12,0 days 00:48:24
Mikyla Grant-Mentis,1,0 days 00:17:31,3,0 days 00:05:40,0 days 00:51:51
Amy Curlew,1,0 days 00:17:27,3,0 days 00:04:15,0 days 00:53:12
Sarah-Eve Coutu Godbout,1,0 days 00:17:08,3,0 days 00:17:44,0 days 00:39:24
Emily Fluke,1,0 days 00:17:00,3,0 days 00:00:18,0 days 00:56:42
Alyson Matteau,1,0 days 00:16:10,3,0 days 00:00:08,0 days 00:56:02
Brooke Stacey,1,0 days 00:16:05,3,0 days 00:00:48,0 days 00:55:17
Carly Jackson,1,0 days 00:14:14,3,0 days 00:09:01,0 days 00:45:13
Hunter Accursi,1,0 days 00:14:01,3,0 days 00:15:50,0 days 00:38:11
Marie-Jo Pelletier,1,0 days 00:13:28,3,0 days 00:00:06,0 days 00:53:22
Elaine Chuli,1,0 days 00:11:10,3,0 days 00:08:25,0 days 00:42:45
Brittany Colton,1,0 days 00:07:54,3,0 days 00:04:04,0 days 00:43:50
