Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Kayla Friesen,1,0 days 00:20:00,4,0 days 00:00:11,0 days 01:04:49
Tori Howran,1,0 days 00:19:58,4,0 days 00:02:45,0 days 01:02:13
Shannon Doyle,1,0 days 00:19:55,4,0 days 00:02:42,0 days 01:02:13
Nicole Guagliardo,1,0 days 00:19:53,3,0 days 00:03:04,0 days 00:56:49
Alyson Matteau,1,0 days 00:19:48,4,0 days 00:00:09,0 days 01:04:39
Erin Gehen,1,0 days 00:19:46,4,0 days 00:02:42,0 days 01:02:04
Jordan Juron,1,0 days 00:19:42,4,0 days 00:00:05,0 days 01:04:37
Abbie Ives,1,0 days 00:19:39,3,0 days 00:08:38,0 days 00:51:01
Marie-Jo Pelletier,1,0 days 00:19:35,4,0 days 00:00:25,0 days 01:04:10
Janine Weber,1,0 days 00:19:31,4,0 days 00:02:10,0 days 01:02:21
Carly Jackson,1,0 days 00:19:20,3,0 days 00:12:18,0 days 00:47:02
Whitney Dove,1,0 days 00:19:17,4,0 days 00:00:39,0 days 01:03:38
Emma Vlasic,1,0 days 00:19:12,4,0 days 00:01:47,0 days 01:02:25
Dominique Kremer,1,0 days 00:19:10,4,0 days 00:00:03,0 days 01:04:07
Katelynn Russ,1,0 days 00:19:08,3,0 days 00:00:16,0 days 00:58:52
Alyssa Wohlfeiler,1,0 days 00:19:05,4,0 days 00:01:16,0 days 01:02:49
Autumn MacDougall,1,0 days 00:19:03,4,0 days 00:00:27,0 days 01:03:36
Maggie LaGue,1,0 days 00:18:59,4,0 days 00:00:15,0 days 01:03:44
Elena Orlando,1,0 days 00:18:36,4,0 days 00:00:30,0 days 01:03:06
Brooke Stacey,1,0 days 00:18:32,4,0 days 00:01:40,0 days 01:01:52
Kayla Meneghin,1,0 days 00:18:13,3,0 days 00:00:37,0 days 00:57:36
Hunter Accursi,1,0 days 00:18:12,3,0 days 00:00:31,0 days 00:57:41
Taylor Marchin,1,0 days 00:18:09,4,0 days 00:03:35,0 days 00:59:34
Grace Klienbach,1,0 days 00:18:05,3,0 days 00:09:26,0 days 00:48:39
Megan Delay,1,0 days 00:18:01,4,0 days 00:02:04,0 days 01:00:57
Sarah Schwenzfeier,1,0 days 00:17:59,4,0 days 00:00:34,0 days 01:02:25
Kaycie Anderson,1,0 days 00:17:47,4,0 days 00:01:02,0 days 01:01:45
Maddie Bishop,1,0 days 00:17:34,3,0 days 00:13:05,0 days 00:44:29
Amanda Conway,1,0 days 00:17:13,3,0 days 00:01:24,0 days 00:55:49
Iveta Klimasova,1,0 days 00:17:06,3,0 days 00:03:35,0 days 00:53:31
Mackenzie Lancaster,1,0 days 00:16:58,3,0 days 00:04:30,0 days 00:52:28
Neve Van Pelt,1,0 days 00:16:54,4,0 days 00:00:24,0 days 01:01:30
Kristin Lewicki,1,0 days 00:16:27,4,0 days 00:00:33,0 days 01:00:54
Hanna Beattie,1,0 days 00:16:19,4,0 days 00:02:09,0 days 00:59:10
Brittany Colton,1,0 days 00:15:26,3,0 days 00:06:23,0 days 00:49:03
Cassidy MacPherson,1,0 days 00:15:04,4,0 days 00:01:58,0 days 00:58:06
Lenka Curmova,1,0 days 00:07:25,3,0 days 00:04:50,0 days 00:42:35
