Player_name,Period_Start,Clock_Start,Period_End,Clock_End,Total_duration
Kayla Friesen,1,0 days 00:20:00,3,0 days 00:00:01,0 days 00:59:59
Nicole Guagliardo,1,0 days 00:19:59,3,0 days 00:16:06,0 days 00:43:53
Tori Howran,1,0 days 00:19:59,3,0 days 00:00:31,0 days 00:59:28
Shannon Doyle,1,0 days 00:19:56,3,0 days 00:00:20,0 days 00:59:36
Janine Weber,1,0 days 00:19:51,3,0 days 00:02:35,0 days 00:57:16
Sammy Kolowrat,1,0 days 00:19:34,3,0 days 00:00:46,0 days 00:58:48
Kiira Dosdall,1,0 days 00:19:22,3,0 days 00:00:27,0 days 00:58:55
Emily Janiga,1,0 days 00:19:17,3,0 days 00:00:02,0 days 00:59:15
Madison Packer,1,0 days 00:19:10,3,0 days 00:02:22,0 days 00:56:48
Brooke Wolejko,1,0 days 00:19:08,3,0 days 00:00:23,0 days 00:58:45
Hanna Beattie,1,0 days 00:19:05,3,0 days 00:01:03,0 days 00:58:02
Alyssa Wohlfeiler,1,0 days 00:19:02,3,0 days 00:01:13,0 days 00:57:49
Emma Vlasic,1,0 days 00:19:01,3,0 days 00:01:52,0 days 00:57:09
Kelly Babstock,1,0 days 00:18:55,3,0 days 00:00:35,0 days 00:58:20
Rebecca Russo,1,0 days 00:18:50,3,0 days 00:00:48,0 days 00:58:02
Maggie LaGue,1,0 days 00:18:41,3,0 days 00:00:01,0 days 00:58:40
Leila Kilduff,1,0 days 00:18:35,3,0 days 00:02:09,0 days 00:56:26
Kendall Cornine,1,0 days 00:18:35,3,0 days 00:02:45,0 days 00:55:50
Mallory Rushton,1,0 days 00:18:34,3,0 days 00:02:24,0 days 00:56:10
Saroya Tinker,1,0 days 00:18:33,3,0 days 00:02:59,0 days 00:55:34
Allie Olnowich,1,0 days 00:18:32,3,0 days 00:12:28,0 days 00:46:04
Paige Voight,1,0 days 00:18:24,3,0 days 00:00:13,0 days 00:58:11
Elena Orlando,1,0 days 00:18:07,3,0 days 00:03:18,0 days 00:54:49
Sarah Schwenzfeier,1,0 days 00:18:05,3,0 days 00:04:45,0 days 00:53:20
Kaycie Anderson,1,0 days 00:17:47,3,0 days 00:05:16,0 days 00:52:31
Taylor Marchin,1,0 days 00:17:37,3,0 days 00:03:17,0 days 00:54:20
Brooke Avery,1,0 days 00:17:32,2,0 days 00:07:24,0 days 00:30:08
Amanda Conway,1,0 days 00:17:25,3,0 days 00:07:34,0 days 00:49:51
Theresa Knutson,1,0 days 00:17:24,3,0 days 00:02:46,0 days 00:54:38
Cailey Hutchison,1,0 days 00:17:20,2,0 days 00:07:39,0 days 00:29:41
Mackenzie Lancaster,1,0 days 00:17:13,3,0 days 00:10:44,0 days 00:46:29
Maddie Bishop,1,0 days 00:16:43,3,0 days 00:12:35,0 days 00:44:08
Rebecca Morse,1,0 days 00:16:41,3,0 days 00:03:47,0 days 00:52:54
Jayne Lewis,1,0 days 00:15:37,2,0 days 00:03:17,0 days 00:32:20
Kate Leary,1,0 days 00:14:18,3,0 days 00:01:22,0 days 00:52:56
Tera Hofmann,1,0 days 00:14:11,3,0 days 00:03:12,0 days 00:50:59
Grace Klienbach,1,0 days 00:13:01,3,0 days 00:05:59,0 days 00:47:02
Abbie Ives,1,0 days 00:11:23,1,0 days 00:10:25,0 days 00:00:58
Katelynn Russ,1,0 days 00:10:55,3,0 days 00:01:32,0 days 00:49:23
